SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
324,UL,Travis Lee,Devil Rays,140,'04,10,11,1B+0,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
325,UL,Julio Lugo,Devil Rays,230,'04,9,12,SS+4,R,,-,1-,2-3,4-5,6-8,9-15,16-17,18-,-,19+
326,UL,Damian Rolls,Devil Rays,150,'04,9,13,3B+1,R,,-,1-2,3-4,5-6,7-8,9-15,16-,17-19,-,20+
327,UL,Jorge Sosa,Devil Rays,10,'04,1,5,Starter,R,,1-3,4-6,7-12,13-16,17-,18-19,-,20-24,-,25+
5,UL,*Oscar Villarreal,Diamondbacks,10,'04,1,1,Reliever,R,,1-,2-7,8-11,12-15,16-17,18-19,-,20-23,-,24+
8,UL,**Roberto Alomar,Diamondbacks,60,'04,9,13,2B+2,S,,-,1-,2-3,4-5,6-10,11-17,18-,19-20,-,21+
12,UL,Rod Barajas,Diamondbacks,100,'04,10,8,C+8,R,,-,1-2,3-4,5-8,9-11,12-17,-,18-19,-,20+
13,UL,Alex Cintron,Diamondbacks,400,'04,11,13,"SS+3, 3B+1",S,R,-,1-,2-4,5-6,7-8,9-16,-,17-18,19-,20+
14,UL,Elmer Dessens,Diamondbacks,10,'04,1,5,Starter,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+
15,UL,Steve Finley,Diamondbacks,310,'04,10,14,CF+0,L,,-,1-,2-3,4-5,6-9,10-15,16-,17-18,19-,20+
16,UL,Luis Gonzalez,Diamondbacks,300,'04,13,12,LF-RF+1,L,,-,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
17,UL,Mark Grace,Diamondbacks,30,'04,9,9,1B+1,L,,-,-,1-3,4-6,7-10,11-18,-,19-22,-,23+
18,UL,Shea Hillenbrand,Diamondbacks,110,'04,9,10,"3B+1, 1B+0",R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
19,UL,Matt Kata,Diamondbacks,120,'04,9,12,"2B+3, 3B+1",S,R,-,1-,2-4,5-6,7-10,11-16,-,17-18,19-,20+
20,UL,Quinton McCracken,Diamondbacks,10,'04,9,11,LF-RF+0,S,,-,1-2,3-6,7-8,9-11,12-19,-,20-,-,21+
21,UL,Curt Schilling,Diamondbacks,650,'04,4,7,Starter,R,,1-,2-7,8-12,13-17,18-,19-20,-,21-24,-,25+
62,UL,*Danny Bautista,Diamondbacks,510,'04,13,16,OF+0,R,,-,1-,2-5,6-7,8-9,10-18,-,19-21,-,22+
64,UL,*Randy Johnson,Diamondbacks,530,'04,5,7,Starter,L,,1-,2-8,9-14,15-17,18-,19-,-,20-25,-,26+
65,UL,**Randy Johnson,Diamondbacks,320,'04,4,6,Starter,L,,1-3,4-9,10-14,15-16,17-,18-20,-,21-,-,22+
77,UL,**Brandon Webb,Diamondbacks,450,'04,4,7,Starter,R,,1-,2-6,7-12,13-17,18-,19-20,-,21-23,-,24+
82,UL,*Matt Mantei,Diamondbacks,10,'04,1,1,Reliever,R,,1-3,4-10,11-12,13-14,15-16,17-18,-,19-,-,20+
89,UL,**Jose Valverde,Diamondbacks,240,'04,5,1,Reliever,R,R,1-3,4-11,12-16,17-,18-19,20-23,-,24-26,-,27+
4,UL,**Jeff Weaver,Dodgers,10,'04,1,5,Starter,R,,1-2,3-5,6-14,15-,16-,17-19,-,20-26,-,27+
20,P,Paul Lo Duca,Dodgers,140,'04,9,8,"C+9, 1B+0",R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
28,UL,*Eric Gagne,Dodgers,330,'04,6,1,Closer,R,,1-2,3-9,10-14,15-17,18-,19-20,-,21-22,-,23+
29,UL,*Kazuhisha Ishii,Dodgers,400,'04,4,7,Starter,L,,1-4,5-6,7-12,13-16,17-,18-19,-,20-23,-,24+
39,P,Mike Kinkade,Dodgers,180,'04,10,12,"LF-RF+1, 1B+0",R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
40,P,Paul Shuey,Dodgers,130,'04,3,1,Reliever,R,,1-,2-6,7-14,15-16,17-18,19-,-,20-25,-,26+
45,UL,*Milton Bradley,Dodgers,360,'04,10,15,CF+1,S,,-,1-,2-3,4-5,6-10,11-15,-,16-18,-,19+
47,UL,*Paul Lo Duca,Dodgers,360,'04,13,10,"C+6, LF-RF+0",R,,-,-,1-3,4-6,7-9,10-18,-,19-20,-,21+
76,UL,*Adrian Beltre,Dodgers,540,'04,13,13,3B+3,R,,-,1-,2-4,5-7,8-,9-16,-,17-18,-,19+
173,UL,Adrian Beltre,Dodgers,170,'04,9,9,3B+1,R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
174,UL,Kevin Brown,Dodgers,630,'04,5,7,Starter,R,,1-,2-6,7-15,16-17,18-,19-23,-,24-26,-,27+
175,UL,Ron Coomer,Dodgers,90,'04,10,10,1B+0,R,,-,1-2,3-6,7-,8-9,10-18,-,19-,-,20+
176,UL,Alex Cora,Dodgers,90,'04,9,15,2B+4,L,,-,1-,2-4,5-6,7-8,9-17,-,18-20,-,21+
177,UL,Eric Gagne,Dodgers,310,'04,6,1,Closer,R,CY RP,1-,2-11,12-16,17-18,19-,20-24,-,25-27,-,28+
178,UL,Shawn Green,Dodgers,200,'04,10,11,LF-RF+0,L,,-,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
179,UL,Cesar Izturis,Dodgers,10,'04,9,12,SS+2,S,,-,1-,2-5,6-7,8-9,10-18,-,19-20,-,21+
180,UL,Brian Jordan,Dodgers,130,'04,11,10,LF-RF+1,R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
181,UL,Paul Lo Duca,Dodgers,140,'04,9,8,"C+9, 1B+0",R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
182,UL,Fred McGriff,Dodgers,100,'04,9,8,1B+0,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
183,UL,Hideo Nomo,Dodgers,370,'04,2,7,Starter,R,,1-4,5-9,10-15,16-18,19-,20-21,-,22-23,-,24+
184,UL,Paul Quantrill,Dodgers,210,'04,5,1,Reliever,R,,1-3,4-6,7-15,16-,17-,18-19,-,20-27,-,28+
185,UL,Dave Roberts,Dodgers,80,'04,9,23,CF+0,L,,-,-,1-3,4-5,6-9,10-15,16-18,19-,20-,21+
6,UL,*Rocky Biddle,Expos,20,'04,1,1,Closer,R,,1-3,4-5,6-14,15-16,17-,18-19,-,20-25,-,26+
6,P,Fernando Tatis,Expos,50,'04,9,11,3B+1,R,,-,1-2,3-6,7-8,9-13,14-20,-,21-22,-,23+
10,UL,*Carl Everett,Expos,80,'04,9,13,LF-RF+2,S,,-,1-,2-4,5-7,8-10,11-16,-,17-19,-,20+
14,UL,**Brian Schneider,Expos,90,'04,9,10,C+11,L,,-,1-2,3-5,6-7,8-11,12-16,-,17-19,-,20+
34,P,Henry Mateo,Expos,110,'04,10,16,"2B+4, OF+0",S,,-,1-2,3-5,6-,7-9,10-16,17-18,19-,-,20+
38,P,Livan Hernandez,Expos,400,'04,5,7,Starter,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-23,-,24+
44,P,Ron Calloway,Expos,70,'04,9,14,LF-RF+1,L,R,-,1-2,3-5,6-,7-9,10-17,-,18-19,-,20+
73,UL,**Carl Everett,Expos,360,'04,11,12,OF+1,S,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
83,UL,**Chad Cordero,Expos,120,'04,5,1,Reliever,R,R,1-,2-8,9-12,13-16,17-,18-,-,19-24,-,25+
84,UL,*Luis Ayala,Expos,40,'04,2,1,Reliever,R,,1-2,3-5,6-14,15-16,17-,18-19,-,20-26,-,27+
107,UL,**Vladimir Guerrero,Expos,610,'04,12,14,LF-RF+1,R,,-,1-,2-4,5-6,7-8,9-14,15-16,17-18,-,19+
206,UL,Michael Barrett,Expos,50,'04,10,10,C+9,R,,-,1-2,3-4,5-6,7-10,11-17,-,18-20,-,21+
207,UL,Orlando Cabrera,Expos,310,'04,10,18,SS+3,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-19,-,20+
208,UL,Endy Chavez,Expos,50,'04,9,16,CF+1,L,,-,1-,2-4,5-6,7-9,10-16,17-18,19-20,-,21+
209,UL,Zach Day,Expos,90,'04,2,6,Starter,R,R,1-,2-3,4-13,14-16,17-,18-19,-,20-26,-,27+
210,UL,Vladimir Guerrero,Expos,520,'04,13,16,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-,18-,19+
211,UL,Fernando Tatis,Expos,50,'04,9,11,3B+1,R,,-,1-2,3-6,7-8,9-13,14-20,-,21-22,-,23+
212,UL,Javier Vazquez,Expos,560,'04,5,7,Starter,R,,1-,2-7,8-12,13-16,17-,18-19,-,20-23,-,24+
213,UL,Jose Vidro,Expos,330,'04,12,10,2B+2,S,S,-,1-,2-5,6-,7-10,11-17,-,18-19,-,20+
214,UL,Brad Wilkerson,Expos,170,'04,11,13,LF-RF+1,L,,-,1-2,3-4,5-6,7-12,13-16,17-,18-19,-,20+
12,UL,**Jeffrey Hammonds,Giants,90,'04,9,9,OF+1,R,,-,1-2,3-4,5-6,7-10,11-14,-,15-18,-,19+
24,UL,*Jason Schmidt,Giants,700,'04,6,7,Starter,R,,1-2,3-8,9-13,14-16,17-,18-21,-,22-25,-,26+
31,P,Jesse Foppert,Giants,90,'04,1,5,Starter,R,R,1-2,3-6,7-10,11-18,19-,20-21,-,22-23,-,24+
74,UL,**A. J. Pierzynski,Giants,300,'04,11,12,C+7,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
120,CC,*Willy McCovey,Giants,700,'04,13,11,1B+1,L,V HR S,-,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
282,UL,Edgardo Alfonzo,Giants,80,'04,9,11,3B+1,R,,-,1-,2-3,4-6,7-10,11-17,-,18-19,-,20+
283,UL,Rich Aurilia,Giants,160,'04,9,9,SS+1,R,,-,1-,2-3,4-5,6-8,9-17,-,18-19,-,20+
284,UL,Jim Brower,Giants,130,'04,3,2,Reliever,R,,1-,2-5,6-13,14-16,17-,18-19,-,20-25,-,26+
285,UL,Jose Cruz,Giants,170,'04,11,13,LF-RF+2,S,G,-,1-2,3-4,5-6,7-12,13-17,-,18-19,-,20+
286,UL,Ray Durham,Giants,270,'04,10,12,2B+3,S,,-,1-,2-3,4-5,6-9,10-16,-,17-19,-,20+
287,UL,Andres Galarraga,Giants,260,'04,10,9,1B+0,R,,-,1-,2-3,4-6,7-8,9-16,-,17-18,-,19+
288,UL,Marquis Grissom,Giants,370,'04,11,13,CF+1,R,,-,1-,2-4,5-6,7-,8-15,16-17,18-19,-,20+
289,UL,Neifi Perez,Giants,120,'04,9,14,IF+0,S,,-,1-,2-4,5-6,7-8,9-16,-,17-19,20-,21+
290,UL,Felix Rodriguez,Giants,70,'04,2,1,Reliever,R,,1-3,4-7,8-12,13-16,17-,18-19,-,20-25,-,26+
291,UL,Benito Santiago,Giants,220,'04,9,8,C+4,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
292,UL,Jason Schmidt,Giants,670,'04,6,7,Starter,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-25,-,26+
293,UL,J. T. Snow,Giants,210,'04,12,8,1B+1,L,,-,1-,2-3,4-6,7-11,12-17,-,18-19,-,20+
294,UL,Tim Worrell,Giants,200,'04,6,1,Closer,R,,1-4,5-8,9-14,15-,16-17,18-22,-,23-25,-,26+
3,P,C.C. Sabathia,Indians,270,'04,3,7,Starter,L,,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+
11,UL,**Victor Martinez,Indians,80,'04,10,14,C+7,S,R,-,1-,2-4,5-6,7-9,10-19,-,20-,-,21+
45,UL,**Ben Broussard,Indians,200,'04,9,13,1B+1,L,,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
49,UL,**Ronnie Belliard,Indians,210,'04,10,14,"2B+4, 3B+1",R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
64,UL,**Jody Gerut,Indians,290,'04,10,14,LF-RF+1,L,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
69,UL,*Ronnie Belliard,Indians,490,'04,13,16,2B+3,R,,-,1-,2-4,5-,6-9,10-16,-,17-20,-,21+
97,UL,Danys Baez,Indians,190,'04,5,1,Closer,R,,1-4,5-9,10-14,15-16,17-,18-19,-,20-23,-,24+
98,UL,Josh Bard,Indians,80,'04,9,8,C+8,S,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
99,UL,Casey Blake,Indians,130,'04,9,12,"3B+1, 1B+1",R,,-,1-2,3-5,6-7,8-9,10-16,-,17-19,-,20+
100,UL,Jason Boyd,Indians,160,'04,4,1,Reliever,R,,1-3,4-6,7-13,14-15,16-17,18-19,-,20-25,-,26+
101,UL,Milton Bradley,Indians,370,'04,13,15,CF+2,S,,-,1-2,3-5,6-,7-11,12-15,16-17,18-,19-,20+
102,UL,*Victor Martinez,Indians,340,'04,11,15,C+8,S,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
102,UL,Ellis Burks,Indians,160,'04,10,9,DH,R,,-,1-2,3-4,5-,6-10,11-16,-,17-19,-,20+
103,UL,Coco Crisp,Indians,90,'04,9,17,OF+1,S,R,-,1-,2-4,5-6,7-8,9-16,17-,18-19,20-,21+
104,UL,Jody Gerut,Indians,270,'04,9,13,LF-RF+1,L,R,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
105,UL,Travis Hafner,Indians,160,'04,9,13,1B+1,L,,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
106,UL,Matt Lawton,Indians,110,'04,10,15,LF-RF+2,L,,-,1-,2-4,5-6,7-11,12-16,17-,18-19,-,20+
107,UL,John McDonald,Indians,10,'04,9,10,IF+0,R,,-,1-,2-4,5-8,9-10,11-18,-,19-20,-,21+
108,UL,Terry Mulholland,Indians,80,'04,2,2,Reliever,L,,1-2,3-4,5-12,13-16,17-,18-19,-,20-23,-,24+
109,UL,C. C. Sabathia,Indians,270,'04,3,7,Starter,L,,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+
110,UL,Omar Vizquel,Indians,60,'04,10,12,SS+5,S,,-,1-,2-4,5-6,7-11,12-18,-,19-20,-,21+
125,CC,*Bob Feller,Indians,660,'04,6,8,Starter,R,K 20,1-,2-9,10-12,13-16,17-,18-20,-,21-25,-,26+
24,P,Shigetoshi Hasegawa,Mariners,200,'04,5,1,Closer,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+
44,UL,*Ichiro ,Mariners,380,'04,12,19,LF-RF+2,L,,-,1-,2-5,6-,7-9,10-14,15-17,18-,19-,20+
47,UL,**Raul Ibanez,Mariners,200,'04,10,12,LF-RF+1,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
50,UL,**Scott Spiezio,Mariners,210,'04,9,11,"1B+0, 3B+1",S,,-,1-,2-3,4-5,6-9,10-15,-,16-18,19-,20+
54,UL,**Eddie Guardado,Mariners,240,'04,6,1,Closer,L,,1-2,3-8,9-14,15-17,18-,19-,-,20-23,-,24+
59,UL,**Rich Aurilia,Mariners,260,'04,9,9,SS+2,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
63,UL,**Rafael Soriano,Mariners,240,'04,5,1,Reliever,R,R,1-2,3-9,10-13,14-17,18-,19-21,-,22-23,-,24+
78,UL,**Joel Pineiro,Mariners,470,'04,4,7,Starter,R,,1-,2-5,6-15,16-,17-18,19-22,-,23-25,-,26+
295,UL,Bret Boone,Mariners,370,'04,11,15,2B+4,R,G S,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
296,UL,Mike Cameron,Mariners,210,'04,10,15,CF+3,R,G,-,1-2,3-4,5-6,7-11,12-15,16-17,18-19,-,20+
297,UL,Ryan Franklin,Mariners,350,'04,4,7,Starter,R,,1-4,5-7,8-13,14-17,-,18-19,-,20-22,-,23+
298,UL,Carlos Guillen,Mariners,160,'04,10,10,"SS+3, 3B+1",S,,-,1-,2-3,4-5,6-10,11-17,-,18-19,-,20+
299,UL,Shigetoshi Hasegawa,Mariners,200,'04,5,1,Closer,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+
300,UL,Edgar Martinez,Mariners,250,'04,13,8,DH,R,S,-,1-2,3-5,6-7,8-13,14-17,-,18-19,-,20+
301,UL,Mark McLemore,Mariners,40,'04,9,11,IF+1,S,,-,1-2,3-4,5-6,7-11,12-18,-,19-20,-,21+
302,UL,Jamie Moyer,Mariners,410,'04,4,7,Starter,L,20,1-3,4-6,7-12,13-16,17-,18-19,-,20-24,-,25+
303,UL,John Olerud,Mariners,170,'04,11,8,1B+1,L,G,-,1-,2-4,5-6,7-11,12-17,-,18-19,-,20+
304,UL,Ichiro Suzuki,Mariners,370,'04,11,21,LF-RF+2,L,G,-,1-,2-4,5-6,7-8,9-15,16-17,18-,19-,20+
305,UL,Dan Wilson,Mariners,10,'04,9,9,C+8,R,,-,1-2,3-5,6-8,9-10,11-18,-,19-20,-,21+
306,UL,Randy Winn,Mariners,220,'04,10,18,LF-RF+1,S,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
14,P,Josh Beckett,Marlins,440,'04,5,6,Starter,R,,1-3,4-9,10-15,16-,17-,18-19,-,20-26,-,27+
15,P,Juan Pierre,Marlins,280,'04,11,24,CF+1,L,SB,-,-,1-4,5-,6-8,9-14,15-18,19-20,-,21+
17,P,Luis Castillo,Marlins,300,'04,11,20,2B+4,S,G,-,1-,2-5,6-,7-10,11-17,18-19,20-,-,21+
46,UL,**Miguel Cabrera,Marlins,240,'04,10,14,"LF-RF+1, 3B+1",R,,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
49,UL,*Miguel Cabrera,Marlins,390,'04,10,13,LF-RF+0,R,,-,1-2,3-,4-5,6-10,11-16,-,17-,-,18+
67,UL,*Brad Penny,Marlins,480,'04,5,7,Starter,R,,1-,2-6,7-13,14-17,18-,19-21,-,22-,-,23+
74,UL,*Mike Lowell,Marlins,610,'04,13,16,3B+3,R,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
95,UL,*Armando Benitez,Marlins,320,'04,5,1,Closer,R,,1-,2-9,10-15,16-17,18-19,20-22,-,23-24,-,25+
132,UL,Josh Beckett,Marlins,440,'04,5,6,Starter,R,,1-3,4-9,10-15,16-,17-,18-19,-,20-26,-,27+
133,UL,Miguel Cabrera,Marlins,140,'04,9,8,"LF-RF+1, 3B+1",R,R,-,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
134,UL,Luis Castillo,Marlins,300,'04,11,20,2B+4,S,G,-,1-,2-5,6-,7-10,11-17,18-19,20-,-,21+
135,UL,Juan Encarnacion,Marlins,170,'04,9,16,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-19,-,20+
136,UL,Alex Gonzalez,Marlins,100,'04,9,8,SS+2,R,,-,1-2,3-4,5-7,8-10,11-16,-,17-19,-,20+
137,UL,Derrek Lee,Marlins,360,'04,11,17,1B+1,R,G,-,1-2,3-4,5-6,7-11,12-15,16-,17-18,-,19+
138,UL,Braden Looper,Marlins,120,'04,3,1,Closer,R,,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+
139,UL,Mike Lowell,Marlins,250,'04,10,10,3B+1,R,S,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
140,UL,Juan Pierre,Marlins,280,'04,11,24,CF+1,L,SB,-,-,1-4,5-,6-8,9-14,15-18,19-20,-,21+
141,UL,Mark Redman,Marlins,420,'04,4,7,Starter,L,,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+
142,UL,Ivan Rodriguez,Marlins,320,'04,11,12,C+10,R,,-,1-2,3-5,6-,7-10,11-16,17-,18-19,-,20+
143,UL,Tim Spooneybarger,Marlins,270,'04,6,1,Reliever,R,,1-2,3-6,7-16,17-,18-,19-23,-,24-27,-,28+
144,UL,Dontrelle Willis,Marlins,240,'04,3,6,Starter,L,RY R,1-,2-6,7-12,13-16,17-,18-19,-,20-25,-,26+
5,UL,**Todd Zeile,Mets,10,'04,9,9,3B+2,R,,-,1-2,3-5,6-7,8-12,13-18,-,19-,-,20+
13,P,Mike Piazza,Mets,350,'04,11,8,C+6,R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
22,UL,**Braden Looper,Mets,140,'04,3,1,Closer,R,,1-3,4-7,8-14,15-16,17-,18-23,-,24-26,-,27+
37,UL,**Mike Cameron,Mets,170,'04,10,15,CF+3,R,G,-,1-2,3-4,5-6,7-11,12-15,16-17,18-19,-,20+
39,UL,*Mike Stanton,Mets,300,'04,5,1,Reliever,L,,1-3,4-6,7-13,14-17,18-,19-23,-,24-27,-,28+
41,UL,*Steve Trachsel,Mets,320,'04,4,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
43,P,Roger Cedeno,Mets,190,'04,10,16,"LF-RF+1, OF+0",S,,-,1-,2-4,5-,6-8,9-15,16-17,18-19,-,20+
101,UL,**Kazuo Matsui,Mets,500,'04,12,18,SS+4,S,R,-,1-,2-3,4-6,7-9,10-14,15-17,18-19,20-21,22+
105,UL,*Mike Piazza,Mets,400,'04,12,9,C+6,R,,-,1-3,4-5,6-7,8-12,13-15,-,16-17,-,18+
107,UL,*Tom Glavine,Mets,430,'04,5,6,Starter,L,,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+
124,CC,*Tom Seaver,Mets,630,'04,6,7,Starter,R,CY 20,1-2,3-10,11-13,14-16,17-,18-21,-,22-23,-,24+
215,UL,Tony Clark,Mets,50,'04,9,8,1B+0,S,,-,1-3,4-5,6-7,8-11,12-16,-,17-18,-,19+
216,UL,Cliff Floyd,Mets,230,'04,11,13,LF-RF+1,L,,-,1-,2-4,5-7,8-11,12-16,-,17-18,-,19+
217,UL,John Franco,Mets,90,'04,2,1,Reliever,L,,1-2,3-5,6-15,16-17,18-,19-21,-,22-23,-,24+
218,UL,Joe McEwing,Mets,10,'04,9,14,"2B+3, SS+3",R,,-,1-2,3-5,6-7,8-11,12-18,-,19-20,-,21+
219,UL,Timo Perez,Mets,10,'04,9,11,OF+0,L,,-,1-,2-4,5-7,8-10,11-18,-,19-20,-,21+
220,UL,Jason Phillips,Mets,260,'04,11,8,"1B+0, C+6",R,R,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
221,UL,Mike Piazza,Mets,350,'04,11,8,C+6,R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
222,UL,Jose Reyes,Mets,500,'04,11,19,SS+4,S,R,-,-,1-3,4-5,6-7,8-14,15-16,17-18,19-,20+
223,UL,Steve Trachsel,Mets,190,'04,3,6,Starter,R,,1-,2-4,5-10,11-16,17-,18-19,-,20-23,-,24+
224,UL,Dave Weathers,Mets,80,'04,2,1,Closer+0,R,,1-,2-6,7-13,14-16,17-,18-19,-,20-25,-,26+
225,UL,Ty Wigginton,Mets,150,'04,9,15,3B+1,R,,-,1-2,3-4,5-6,7-9,10-15,16-,17-19,-,20+
22,UL,*Buddy Groom,Orioles,180,'04,3,1,Reliever,L,,1-2,3-8,9-14,15-16,17-,18-23,-,24-27,-,28+
25,P,Tony Batista,Orioles,80,'04,9,10,3B+1,R,,-,1-2,3-4,5-8,9-10,11-17,-,18-,-,19+
30,UL,*B.J. Ryan,Orioles,240,'04,5,1,Reliever,L,,1-2,3-9,10-14,15-16,17-18,19-23,-,24-27,-,28+
30,P,David Segui,Orioles,90,'04,11,10,DH,L,,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
33,UL,Tony Batista,Orioles,80,'04,9,10,3B+1,R,,-,1-2,3-4,5-8,9-10,11-17,-,18-,-,19+
34,UL,Deivi Cruz,Orioles,60,'04,9,9,SS+2,R,,-,1-,2-5,6-8,9-,10-17,-,18-19,-,20+
35,UL,Travis Driskill,Orioles,60,'04,2,2,Reliever,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+
36,UL,Brook Fordyce,Orioles,50,'04,9,9,C+5,R,,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
37,UL,Jay Gibbons,Orioles,290,'04,9,8,LF-RF+1,L,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
38,UL,Pat Hentgen,Orioles,210,'04,3,6,Starter,R,,1-,2-4,5-10,11-15,16-17,18-19,-,20-23,-,24+
39,UL,Jorge Julio,Orioles,70,'04,2,1,Closer,R,,1-2,3-7,8-13,14-18,19-20,21-22,-,23-,-,24+
40,UL,Rodrigo Lopez,Orioles,10,'04,1,6,Starter,R,,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+
41,UL,**Rafael Palmeiro,Orioles,180,'04,10,9,1B+1,L,,-,1-,2-3,4-6,7-12,13-17,-,18-,-,19+
41,UL,Luis Matos,Orioles,270,'04,11,14,CF+2,R,,-,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
42,UL,Melvin Mora,Orioles,350,'04,13,14,OF+2,R,,-,1-2,3-5,6-7,8-11,12-17,18-,19-,-,20+
43,UL,Brian Roberts,Orioles,110,'04,10,18,2B+3,S,,-,1-,2-4,5-6,7-10,11-16,17-18,19-20,-,21+
44,UL,B. J. Surhoff,Orioles,120,'04,10,9,"OF+0, 1B+0",L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
58,UL,*Javy Lopez,Orioles,450,'04,13,9,C+7,R,,-,1-,2-4,5-7,8-10,11-17,-,18-19,-,20+
61,UL,*Melvin Mora,Orioles,540,'04,14,13,3B+1,R,,-,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
70,UL,**Miguel Tejada,Orioles,330,'04,10,14,SS+2,R,,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
87,UL,*Larry Bigbie,Orioles,100,'04,9,16,LF-RF+0,L,,-,1-2,3-5,6-7,8-11,12-17,-,18-,-,19+
104,UL,*Miguel Tejada,Orioles,380,'04,11,14,SS+3,R,,-,1-,2-3,4-5,6-10,11-14,15-,16-18,-,19+
105,UL,**Javy Lopez,Orioles,680,'04,12,10,C+7,R,S,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
112,UL,**Mike Mussina,Orioles,630,'04,5,7,Starter,R,,1-2,3-7,8-14,15-17,18-,19-21,-,22-23,-,24+
119,CC,*Jim Palmer,Orioles,610,'04,6,8,Starter,R,CY 20,1-2,3-9,10-13,14-16,17-18,19-20,-,21-23,-,24+
10,UL,**Khalil Greene,Padres,80,'04,9,13,SS+2,R,R,-,1-3,4-6,7-8,9-11,12-15,-,16-18,19-,20+
16,UL,*Trevor Hoffman,Padres,190,'04,4,1,Closer,R,,1-,2-6,7-12,13-17,-,18-19,-,20-27,-,28+
35,P,Jake Peavy,Padres,180,'04,3,6,Starter,R,,1-2,3-6,7-12,13-16,17-,18-19,-,20-22,-,23+
37,UL,*Jake Peavy,Padres,540,'04,4,7,Starter,R,,1-,2-6,7-13,14-18,19-,20-23,-,24-27,-,28+
61,UL,**Ramon Hernandez,Padres,280,'04,9,10,C+7,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
67,UL,**Brian Giles,Padres,310,'04,13,10,LF-RF+1,L,,-,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
72,UL,**David Wells,Padres,340,'04,4,7,Starter,L,,1-,2-4,5-12,13-16,-,17-19,-,20-24,-,25+
97,UL,**Jay Payton,Padres,350,'04,11,11,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
