Name,Team,SetNumber,Ed,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
**Moises Alou,Giants,73,UL,420,'05,10,10,LF-RF+0,R,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
Ray Durham,Giants,285,UL,360,'05,10,13,2B+3,S,,,1-,2-3,4-5,6-9,10-14,15-16,17-18,19-,20+
J.T. Snow,Giants,291,UL,360,'05,13,10,1B+1,L,,,1-2,3-4,5-6,7-11,12-16,-,17-19,-,20+
**Armando Benitez,Giants,157,UL,320,'05,6,1,Closer,R,,1-,2-6,7-10,11-17,18-19,20-22,-,23-24,-,25+
Dustan Mohr,Giants,288,UL,310,'05,12,12,LF-RF+1,R,,,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
A.J. Pierzynski,Giants,289,UL,300,'05,9,8,C+5,L,,,-,1-3,4-5,6-7,8-15,-,16-18,-,19+
Brett Tomko,Giants,292,UL,250,'05,3,6,Starter,R,,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+
Pedro Feliz,Giants,21,P,230,'05,9,11,"1B+1, 3B+1",R,,,1-2,3-4,5-6,7-8,9-15,-,16-18,-,19+
Deivi Cruz,Giants,284,UL,230,'05,10,11,SS+2,R,,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
Edgardo Alfonzo,Giants,282,UL,200,'05,10,9,3B+2,R,,,1-,2-3,4-6,7-9,10-17,-,18-19,-,20+
Marquis Grissom,Giants,287,UL,180,'05,9,10,CF+1,R,,,1-,2-4,5-6,7-9,10-17,-,18-,-,19+
Scott Eyre,Giants,286,UL,150,'05,4,1,Reliever,L,,1-,2-5,6-10,11-15,16-17,18-19,-,20-23,-,24+
**Omar Vizquel,Giants,50,UL,140,'05,10,16,SS+2,S,,,1-,2-4,5-6,7-10,11-17,18-,19-20,-,21+
Jim Brower,Giants,283,UL,140,'05,3,1,Reliever,R,,1-,2-5,6-13,14-16,17-,18-19,-,20-26,-,27+
Michael Tucker,Giants,293,UL,120,'05,10,18,LF-RF+1,L,,,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
**Jason Christiansen,Giants,75,UL,80,'05,1,1,Reliever,L,,1-,2-4,5-12,13-15,16-18,19-22,-,23-25,-,26+
Travis Hafner,Indians,96,UL,510,'05,13,10,DH,L,,,1-2,3-4,5-7,8-11,12-15,-,16-18,-,19+
C.C. Sabathia,Indians,101,UL,490,'05,3,7,Starter,L,,1-2,3-,4-12,13-18,19-,20-23,-,24-26,-,27+
Victor Martinez,Indians,99,UL,420,'05,11,8,C+5,S,S,,1-,2-3,4-5,6-9,10-15,-,16-18,-,19+
Jake Westbrook,Indians,103,UL,380,'05,4,7,Starter,R,,1-,2-4,5-13,14-16,17-,18-19,-,20-24,-,25+
**Kevin Millwood,Indians,27,UL,320,'05,3,7,Starter,R,,1-2,3-7,8-13,14-17,18-,19-22,-,23-24,-,25+
Casey Blake,Indians,93,UL,290,'05,10,11,3B+2,R,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
**Jose Hernandez,Indians,154,UL,260,'05,11,10,2B+3,R,,,1-3,4-5,6-7,8-11,12-16,-,17-18,-,19+
Matt Lawton,Indians,97,UL,250,'05,11,18,LF-RF+1,L,,,1-,2-4,5-6,7-10,11-16,17-18,19-,-,20+
Ronnie Belliard,Indians,92,UL,240,'05,10,12,2B+2,R,,,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
Ben Broussard,Indians,94,UL,220,'05,11,10,1B+0,L,,,1-2,3-5,6-7,8-11,12-16,-,17-18,-,19+
Coco Crisp,Indians,95,UL,200,'05,10,17,CF+0,S,,,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
**Juan Gonzalez,Indians,10,UL,170,'05,9,10,LF-RF+1,R,,,1-,2-3,4-5,6-8,9-17,-,18-,-,19+
**Grady Sizemore,Indians,103,UL,140,'05,10,12,CF+2,L,,,1-,2-4,5-6,7-10,11-18,-,19-,-,20+
**Alex Cora,Indians,125,UL,130,'05,10,10,2B+2,L,,,1-,2-4,5-6,7-10,11-18,-,19-,-,20+
Omar Vizquel,Indians,102,UL,120,'05,10,17,SS+4,S,,,1-,2-4,5-6,7-10,11-17,18-,19-20,-,21+
Cliff Lee,Indians,98,UL,110,'05,2,5,Starter,L,R,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+
David Riske,Indians,100,UL,100,'05,2,1,Reliever,R,,1-3,4-8,9-13,14-16,17-,18-,-,19-23,-,24+
**Bob Wickman,Indians,87,UL,80,'05,2,1,Closer,R,,1-,2-6,7-14,15-16,17-,18-19,-,20-23,-,24+
**Adrian Beltre,Mariners,127,UL,740,'05,13,12,3B+2,R,,,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
Ichiro Suzuki,Mariners,302,UL,450,'05,13,21,LF-RF+2,L,SB G,,1-,2-5,6-,7-8,9-16,17-19,20-,-,21+
Raul Ibanez,Mariners,298,UL,270,'05,11,9,LF-RF+1,L,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
Randy Winn,Mariners,304,UL,250,'05,10,18,CF+2,S,,,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
**Richie Sexson,Mariners,84,UL,240,'05,9,10,1B+1,R,,,1-2,3-4,5-6,7-11,12-14,-,15-16,-,17+
Bret Boone,Mariners,294,UL,200,'05,9,13,2B+4,R,G,,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
Joel Pineiro,Mariners,300,UL,190,'05,3,7,Starter,R,,1-2,3-6,7-12,13-15,16-,17-19,-,20-23,-,24+
Eddie Guardado,Mariners,296,UL,180,'05,5,1,Closer,L,,1-,2-7,8-11,12-16,17-,18-19,-,20-21,-,22+
Edgar Martinez,Mariners,299,UL,140,'05,10,9,DH,R,,,1-2,3-4,5-6,7-10,11-17,-,18-19,-,20+
**Jeff Nelson,Mariners,106,UL,90,'05,1,1,Reliever,R,,1-4,5-9,10-15,16-,17-18,19-22,-,23-24,-,25+
Ryan Franklin,Mariners,295,UL,90,'05,2,6,Starter,R,,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+
Shigetoshi Hasegawa,Mariners,297,UL,80,'05,2,1,Reliever,R,,1-3,4-7,8-13,14-16,17-,18-19,-,20-25,-,26+
**J.J. Putz,Mariners,8,UL,60,'05,2,1,Reliever,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+
**Wilson Valdez,Mariners,19,UL,40,'05,9,13,SS+3,R,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
**Aaron Sele,Mariners,31,UL,20,'05,1,5,Starter,R,,1-3,4-5,6-12,13-15,16-,17-19,-,20-24,-,25+
**Ron Villone,Mariners,17,UL,10,'05,2,1,Reliever,L,,1-2,3-6,7-12,13-15,16-17,18-19,-,20-24,-,25+
Willie Bloomquist,Mariners,22,P,10,'05,9,14,3B+0,R,,,1-2,3-4,5-6,7-8,9-15,16-17,18-19,-,20+
**Dan Wilson,Mariners,139,UL,10,'05,9,10,C+5,R,,,1-2,3-5,6-7,8-10,11-18,-,19-20,-,21+
Scott Spiezio,Mariners,301,UL,10,'05,9,10,"3B+2, 1B+0",S,,,1-,2-3,4-7,8-11,12-18,-,19-,-,20+
Dan Wilson,Mariners,303,UL,10,'05,9,8,C+7,R,,,1-2,3-5,6-7,8-10,11-18,-,19-20,-,21+
Mike Lowell,Marlins,132,UL,430,'05,10,11,3B+1,R,,,-,1-2,3-5,6-9,10-15,-,16-18,-,19+
Miguel Cabrera,Marlins,128,UL,400,'05,11,11,LF-RF+0,R,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Carl Pavano,Marlins,133,UL,400,'05,4,7,Starter,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-25,-,26+
**Carlos Delgado,Marlins,48,UL,390,'05,12,10,1B+1,L,,,1-2,3-4,5-6,7-11,12-16,-,17-,-,18+
Josh Beckett,Marlins,126,UL,390,'05,4,6,Starter,R,,1-,2-6,7-12,13-16,17-,18-19,-,20-24,-,25+
Juan Pierre,Marlins,135,UL,370,'05,12,22,CF+0,L,SB,,-,1-4,5-6,7-8,9-15,16-18,19-,20-,21+
Armando Benitez,Marlins,127,UL,310,'05,6,1,Closer,R,RP,1-3,4-8,9-12,13-17,18-19,20-22,-,23-24,-,25+
Tim Spooneybarger,Marlins,136,UL,310,'05,6,1,Reliever,R,,,1-4,5-14,15-17,18-,19-23,-,24-27,-,28+
**Damion Easley,Marlins,149,UL,220,'05,9,10,2B+1,R,,,1-,2-3,4-5,6-10,11-14,-,15-18,-,19+
Paul Lo Duca,Marlins,202,UL,210,'05,10,10,C+6,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
Dontrelle Willis,Marlins,137,UL,190,'05,2,6,Starter,L,,1-3,4-7,8-14,15-16,17-,18-19,-,20-24,-,25+
**Antonio Alfonseca,Marlins,155,UL,180,'05,3,1,Reliever,R,,1-,2-4,5-14,15-16,17-,18-19,-,20-25,-,26+
Luis Castillo,Marlins,129,UL,150,'05,11,18,2B+4,S,G,,1-,2-5,6-,7-10,11-17,18-19,20-,-,21+
Jeff Conine,Marlins,130,UL,130,'05,10,13,"LF-RF+1, 1B+1",R,,,1-,2-4,5-7,8-10,11-17,-,18-19,-,20+
**Matt Perisho,Marlins,39,UL,110,'05,2,1,Reliever,L,,1-4,5-9,10-14,15-16,17-18,19-,-,20-23,-,24+
**Al Leiter,Marlins,23,UL,100,'05,2,6,Starter,L,,1-2,3-6,7-12,13-16,17-18,19-,-,20-25,-,26+
**Ismael Valdez,Marlins,60,UL,100,'05,2,5,Starter,R,,1-3,4-5,6-12,13-15,16-,17-18,-,19-22,-,23+
Alex Gonzalez,Marlins,131,UL,100,'05,9,14,SS+2,R,,,1-2,3-4,5-8,9-10,11-16,-,17-18,-,19+
Matt Perisho,Marlins,134,UL,80,'05,2,1,Reliever,L,,1-,2-6,7-11,12-16,17-18,19-,-,20-23,-,24+
**John Riedling,Marlins,29,UL,40,'05,1,1,Reliever,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+
**Nate Bump,Marlins,61,UL,30,'05,1,1,Reliever,R,,1-,2-4,5-13,14-15,16-,17-19,-,20-25,-,26+
**Lenny Harris,Marlins,51,UL,10,'05,9,10,LF-RF+0,L,,,1-,2-8,9-11,12-,13-18,-,19-20,-,21+
**Carlos Beltran,Mets,32,UL,520,'05,11,23,CF+2,S,,,1-,2-3,4-6,7-11,12-,13-16,17-,18-,19+
**Pedro Martinez,Mets,124,UL,460,'05,5,7,Starter,R,,1-3,4-9,10-14,15-16,17-,18-20,-,21-23,-,24+
Tom Glavine,Mets,209,UL,390,'05,4,6,Starter,L,,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+
Mike Piazza,Mets,215,UL,310,'05,10,8,"C+5, 1B+0",R,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
David Wright,Mets,217,UL,310,'05,10,12,3B+1,R,R,,1-,2-3,4-6,7-8,9-15,-,16-18,-,19+
Al Leiter,Mets,211,UL,300,'05,3,6,Starter,L,,1-3,4-7,8-13,14-15,16-17,18-19,-,20-24,-,25+
Mike Cameron,Mets,207,UL,290,'05,9,18,CF+1,R,,,1-2,3-,4-6,7-10,11-13,14-,15-17,-,18+
**Kris Benson,Mets,68,UL,280,'05,3,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-25,-,26+
**Miguel Cairo,Mets,53,UL,260,'05,10,13,2B+2,R,,,1-,2-4,5-6,7-8,9-16,17-,18-,19-,20+
Cliff Floyd,Mets,208,UL,230,'05,10,13,LF-RF+0,L,,,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
Braden Looper,Mets,212,UL,180,'05,4,1,Closer,R,,1-2,3-6,7-15,16-,17-,18-23,-,24-26,-,27+
Kazuo Matsui,Mets,213,UL,160,'05,9,14,SS+3,S,,,1-2,3-4,5-6,7-9,10-15,16-,17-19,-,20+
Ricky Bottalico,Mets,206,UL,150,'05,3,1,Reliever,R,,1-3,4-8,9-13,14-16,17-,18-19,-,20-26,-,27+
Richard Hidalgo,Mets,210,UL,130,'05,9,10,LF-RF+1,R,,,1-2,3-4,5-7,8-10,11-16,-,17-18,-,19+
Eric Valent,Mets,18,P,120,'05,9,8,"1B+1, LF-RF+1",L,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
**Kazuhisa Ishii,Mets,21,UL,120,'05,2,6,Starter,L,,1-,2-4,5-8,9-15,16-17,18-19,-,20-23,-,24+
Jason Phillips,Mets,214,UL,60,'05,9,8,C+7,R,,,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
Jose Reyes,Mets,216,UL,60,'05,9,17,2B+2,S,,,1-,2-4,5-7,8-,9-15,16-17,18-20,-,21+
**Roberto Hernandez,Mets,40,UL,30,'05,1,1,Reliever,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+
**Mike DeJean,Mets,9,UL,10,'05,1,1,Reliever,R,,1-,2-5,6-11,12-14,15-16,17-19,-,20-27,-,28+
Joe McEwing,Mets,17,P,10,'05,9,10,2B+4,R,,,1-2,3-4,5-6,7-9,10-19,-,20-,-,21+
**Brad Wilkerson,Nationals,74,UL,520,'05,13,15,"OF+1, 1B+1",L,,,1-2,3-4,5-6,7-10,11-15,16-,17-,18-,19+
**Vinny Castilla,Nationals,161,UL,500,'05,13,10,3B+3,R,,,1-,2-3,4-6,7-11,12-15,-,16-18,-,19+
**Jose Guillen,Nationals,102,UL,350,'05,10,11,LF-RF+1,R,,,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
**Jose Vidro,Nationals,92,UL,320,'05,11,16,2B+3,S,,,1-2,3-4,5-,6-10,11-16,17-,18-,19-,20+
**Livan Hernandez,Nationals,119,UL,290,'05,4,7,Starter,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+
**Nick Johnson,Nationals,4,UL,250,'05,11,11,1B+1,L,,,1-2,3-5,6-,7-11,12-16,-,17-18,-,19+
**Antonio Osuna,Nationals,72,UL,190,'05,4,1,Reliever,R,,1-2,3-7,8-12,13-16,17-,18-19,-,20-25,-,26+
**Carlos Baerga,Nationals,153,UL,180,'05,9,10,1B+0,S,,,1-,2-5,6-,7-9,10-17,-,18-19,-,20+
**Esteban Loaiza,Nationals,158,UL,160,'05,2,6,Starter,R,,1-4,5-8,9-14,15-16,17-,18-19,-,20-23,-,24+
**Tony Armas,Nationals,89,UL,80,'05,1,5,Starter,R,,1-2,3-6,7-11,12-16,17-19,20-,-,21-23,-,24+
**Brian Schneider,Nationals,133,UL,80,'05,9,12,C+8,L,,,1-3,4-6,7-,8-10,11-16,-,17-19,-,20+
**Cristian Guzman,Nationals,147,UL,40,'05,9,12,SS+3,S,,,1-,2-5,6-7,8-9,10-16,17-,18-19,-,20+
**Terrmel Sledge,Nationals,16,UL,30,'05,9,13,LF-RF+1,L,,,1-2,3-4,5-7,8-11,12-17,-,18-19,-,20+
Miguel Tejada,Orioles,43,UL,510,'05,11,12,SS+4,R,S,,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
Rodrigo Lopez,Orioles,37,UL,420,'05,4,5,Starter,R,,1-3,4-7,8-14,15-17,18-,19-21,-,22-23,-,24+
Melvin Mora,Orioles,38,UL,390,'05,13,13,3B+1,R,S,,1-2,3-5,6-7,8-11,12-16,17-,18-19,-,20+
**Sammy Sosa,Orioles,54,UL,320,'05,11,10,LF-RF+1,R,,,1-3,4-5,6-7,8-12,13-16,-,17-18,-,19+
**David Newhan,Orioles,65,UL,310,'05,11,13,LF-RF+0,L,,,1-,2-3,4-5,6-8,9-16,17-,18-19,20-,21+
Javy Lopez,Orioles,174,UL,290,'05,11,8,C+6,R,,,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
Larry Bigbie,Orioles,3,P,280,'05,10,12,LF-RF+1,L,,,1-2,3-5,6-,7-9,10-16,-,17-18,-,19+
B.J. Ryan,Orioles,41,UL,240,'05,5,1,Reliever,L,,1-,2-9,10-14,15-17,18-,19-23,-,24-26,-,27+
**Steve Kline,Orioles,159,UL,240,'05,4,1,Reliever,L,,1-2,3-6,7-14,15-16,17-18,19-22,-,23-25,-,26+
**B.J. Surhoff,Orioles,20,UL,210,'05,11,10,LF-RF+1,L,,,1-,2-3,4-6,7-9,10-18,-,19-,-,20+
B.J. Surhoff,Orioles,42,UL,190,'05,11,10,LF-RF+1,L,,,1-,2-3,4-6,7-9,10-18,-,19-,-,20+
Brian Roberts,Orioles,40,UL,160,'05,10,20,2B+1,S,,,1-,2-4,5-6,7-10,11-15,16-17,18-20,-,21+
Jorge Julio,Orioles,36,UL,130,'05,2,1,Closer,R,,1-2,3-7,8-12,13-16,17-18,19-21,-,22-23,-,24+
Rafael Palmeiro,Orioles,39,UL,130,'05,10,10,1B+0,L,,,1-,2-3,4-6,7-11,12-17,-,18-19,-,20+
Jerry Hairston,Orioles,35,UL,100,'05,11,14,LF-RF+2,R,,,1-,2-3,4-6,7-10,11-17,18-,19-20,-,21+
**Steve Reed,Orioles,145,UL,90,'05,2,1,Reliever,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-24,-,25+
Buddy Groom,Orioles,34,UL,20,'05,1,1,Reliever,L,,1-,2-4,5-11,12-15,16-,17-19,-,20-24,-,25+
David Wells,Padres,281,UL,480,'05,5,6,Starter,L,,1-,2-4,5-13,14-17,-,18-19,-,20-23,-,24+
Jake Peavy,Padres,280,UL,470,'05,4,6,Starter,R,,1-,2-7,8-13,14-16,17-,18-20,-,21-25,-,26+
Mark Loretta,Padres,276,UL,370,'05,12,11,2B+2,R,S,,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
**Woody Williams,Padres,141,UL,350,'05,3,6,Starter,R,,1-3,4-7,8-13,14-17,-,18-19,-,20-24,-,25+
Phil Nevin,Padres,277,UL,350,'05,11,8,1B+0,R,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Trevor Hoffman,Padres,274,UL,280,'05,6,1,Closer,R,,1-4,5-10,11-14,15-17,18-,19-,-,20-24,-,25+
Brian Giles,Padres,271,UL,270,'05,11,13,LF-RF+1,L,,,1-,2-3,4-6,7-11,12-16,17-,18-19,-,20+
Akinori Otsuka,Padres,278,UL,240,'05,5,1,Reliever,R,R,1-3,4-9,10-15,16-17,18-,19-22,-,23-25,-,26+
**Mark Sweeney,Padres,14,UL,230,'05,11,10,LF-RF+2,L,,,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
Scott Linebrink,Padres,193,UL,210,'05,5,1,Reliever,R,,1-2,3-8,9-12,13-16,17-,18-19,-,20-24,-,25+
Ramon Hernandez,Padres,273,UL,210,'05,10,9,C+6,R,,,1-,2-5,6-7,8-10,11-16,-,17-18,-,19+
Ryan Klesko,Padres,275,UL,210,'05,12,10,LF-RF+0,L,,,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
Khalil Greene,Padres,272,UL,140,'05,10,12,SS+4,R,,,1-2,3-4,5-6,7-11,12-17,-,18-19,-,20+
**Brian Lawrence,Padres,108,UL,120,'05,2,6,Starter,R,,1-2,3-5,6-13,14-16,17-,18-19,-,20-23,-,24+
**Chris Hammond,Padres,121,UL,120,'05,3,1,Reliever,L,,1-,2-4,5-11,12-16,17-,18-19,-,20-25,-,26+
Jay Payton,Padres,279,UL,90,'05,9,16,CF+3,R,,,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
Sean Burroughs,Padres,270,UL,70,'05,10,11,3B+1,L,,,1-,2-5,6-7,8-9,10-18,-,19-20,-,21+
**Dennys Reyes,Padres,77,UL,60,'05,1,5,Starter,L,,1-,2-6,7-13,14-16,17-,18-19,-,20-24,-,25+
**Eric Young,Padres,11,UL,50,'05,11,14,LF-RF+0,R,,,1-,2-4,5-7,8-11,12-17,18-,19-20,-,21+
**Geoff Blum,Padres,76,UL,10,'05,9,10,3B+1,S,,,1-2,3-5,6-8,9-11,12-16,-,17-19,-,20+
Bobby Abreu,Phillies,242,UL,440,'05,13,21,LF-RF+1,L,S,,1-2,3-4,5-6,7-12,13-,14-17,18-19,-,20+
Jim Thome,Phillies,253,UL,390,'05,12,8,1B+0,L,,,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
Eric Milton,Phillies,248,UL,380,'05,4,7,Starter,L,,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+
Jimmy Rollins,Phillies,252,UL,330,'05,10,20,SS+1,S,,,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
Billy Wagner,Phillies,255,UL,310,'05,6,1,Closer,L,,1-2,3-9,10-15,16-18,-,19-21,-,22-23,-,24+
**Placido Polanco,Phillies,35,UL,290,'05,10,12,2B+4,R,,,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
Mike Lieberthal,Phillies,246,UL,290,'05,9,9,C+5,R,,,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
**Jon Lieber,Phillies,146,UL,270,'05,3,7,Starter,R,,1-,2-4,5-12,13-16,-,17-19,-,20-24,-,25+
Placido Polanco,Phillies,250,UL,270,'05,10,12,2B+4,R,,,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
Chase Utley,Phillies,254,UL,260,'05,9,12,2B+2,L,R,,1-,2-4,5-6,7-8,9-15,-,16-17,-,18+
David Bell,Phillies,243,UL,250,'05,10,9,3B+2,R,,,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
Vicente Padilla,Phillies,249,UL,230,'05,3,6,Starter,R,,1-3,4-7,8-14,15-17,-,18-19,-,20-23,-,24+
Randy Wolf,Phillies,256,UL,230,'05,3,6,Starter,L,,1-3,4-6,7-12,13-16,17-,18-19,-,20-23,-,24+
Pat Burrell,Phillies,244,UL,210,'05,10,10,LF-RF+0,R,,,1-2,3-,4-5,6-11,12-17,-,18-,-,19+
Rheal Cormier,Phillies,245,UL,160,'05,4,1,Reliever,L,,1-2,3-5,6-13,14-15,16-17,18-19,-,20-24,-,25+
**Brett Myers,Phillies,43,UL,100,'05,2,6,Starter,R,,1-2,3-5,6-12,13-15,16-,17-18,-,19-22,-,23+
**Kenny Lofton,Phillies,126,UL,60,'05,10,12,CF+1,L,,,1-,2-4,5-6,7-11,12-18,-,19-,20-,21+
Jason Michaels,Phillies,247,UL,60,'05,10,15,OF+1,R,,,1-2,3-4,5-6,7-11,12-18,-,19-,-,20+
**Todd Pratt,Phillies,137,UL,40,'05,10,10,C+2,R,,,1-2,3-4,5-6,7-11,12-18,-,19-,-,20+
Jack Wilson,Pirates,269,UL,560,'05,11,12,SS+3,R,S,,1-,2-3,4-,5-6,7-15,-,16-18,19-,20+
Oliver Perez,Pirates,262,UL,420,'05,4,7,Starter,L,,1-4,5-11,12-15,16-17,18-,19-,-,20-23,-,24+
Craig Wilson,Pirates,268,UL,380,'05,10,13,"LF-RF+1, 1B+1",R,,,1-2,3-,4-5,6-9,10-15,-,16-18,-,19+
Jason Kendall,Pirates,259,UL,280,'05,12,13,C+8,R,,,1-,2-5,6-,7-10,11-16,17-,18-19,-,20+
Jason Bay,Pirates,257,UL,240,'05,10,10,LF-RF+0,R,RY R,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Salomon Torres,Pirates,264,UL,180,'05,4,1,Reliever,R,,,1-4,5-13,14-16,17-,18-19,-,20-25,-,26+
Kip Wells,Pirates,266,UL,180,'05,2,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+
Rob Mackowiak,Pirates,260,UL,110,'05,9,14,"IF+0, LF-RF+1",L,,,1-2,3-4,5-6,7-10,11-15,16-17,18-19,-,20+
Jose Mesa,Pirates,261,UL,80,'05,2,1,Closer,R,,1-4,5-7,8-14,15-16,17-,18-19,-,20-25,-,26+
Tike Redman,Pirates,263,UL,80,'05,9,16,CF+1,L,,,1-,2-5,6-7,8-9,10-17,18-,19-,-,20+
Daryle Ward,Pirates,265,UL,70,'05,9,8,1B+0,L,,,1-,2-4,5-7,8-10,11-16,-,17-18,-,19+
Jose Castillo,Pirates,258,UL,40,'05,9,12,2B+3,R,R,,1-2,3-5,6-,7-9,10-18,-,19-20,-,21+
Michael Young,Rangers,339,UL,490,'05,11,13,SS+2,R,,,1-,2-3,4-6,7-8,9-15,16-,17-18,19-,20+
Mark Teixeira,Rangers,338,UL,460,'05,11,10,1B+0,S,S,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
Hank Blalock,Rangers,330,UL,310,'05,10,10,3B+0,L,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Alfonso Soriano,Rangers,337,UL,310,'05,10,16,2B+3,R,S,,1-2,3-4,5-6,7-8,9-14,15-16,17-18,-,19+
Kevin Mench,Rangers,333,UL,270,'05,9,12,LF-RF+2,R,,,1-,2-3,4-5,6-9,10-15,-,16-18,-,19+
Francisco Cordero,Rangers,331,UL,230,'05,4,1,Closer,R,RP,1-2,3-8,9-13,14-16,17-,18-20,-,21-27,-,28+
**Frank Francisco,Rangers,140,UL,170,'05,3,1,Reliever,R,,1-5,6-11,12-14,15-16,17-18,19-22,-,23-25,-,26+
Brian Shouse,Rangers,336,UL,170,'05,4,1,Reliever,L,,1-,2-5,6-14,15-16,17-,18-19,-,20-25,-,26+
**Richard Hidalgo,Rangers,34,UL,150,'05,9,10,LF-RF+1,R,,,1-2,3-4,5-7,8-10,11-16,-,17-18,-,19+
Laynce Nix,Rangers,334,UL,140,'05,9,17,CF+0,L,,,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
**David Dellucci,Rangers,165,UL,120,'05,10,12,LF-RF+1,L,,,1-2,3-5,6-7,8-12,13-17,-,18-,-,19+
**Doug Brocail,Rangers,112,UL,110,'05,2,1,Reliever,R,,1-,2-5,6-13,14-15,16-17,18-19,-,20-26,-,27+
**Ryan Drese,Rangers,123,UL,110,'05,2,6,Starter,R,,,1-3,4-12,13-16,17-,18-19,-,20-25,-,26+
Kenny Rogers,Rangers,335,UL,90,'05,2,6,Starter,L,,1-2,3-5,6-12,13-16,17-,18-19,-,20-24,-,25+
**Sandy Alomar Jr.,Rangers,28,UL,50,'05,9,10,C+7,R,,,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
Rod Barajas,Rangers,329,UL,50,'05,9,8,C+7,R,,,1-2,3-4,5-7,8-10,11-16,-,17-19,-,20+
**Mark DeRosa,Rangers,86,UL,10,'05,9,10,3B+0,R,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
Chan HoPark,Rangers,332,UL,10,'05,1,6,Starter,R,,1-2,3-6,7-13,14-16,-,17-18,-,19-21,-,22+
Curt Schilling,Red Sox,54,UL,480,'05,5,7,Starter,R,20,1-2,3-6,7-12,13-16,17-,18-19,-,20-24,-,25+
Manny Ramirez,Red Sox,52,UL,450,'05,12,10,LF-RF+0,R,HR S,,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
**David Wells,Red Sox,62,UL,420,'05,5,6,Starter,L,,1-,2-4,5-12,13-16,-,17-19,-,20-23,-,24+
David Ortiz,Red Sox,51,UL,410,'05,11,8,1B+0,L,HR S,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
Pedro Martinez,Red Sox,49,UL,390,'05,4,7,Starter,R,K,1-,2-7,8-11,12-16,17-,18-19,-,20-23,-,24+
**Matt Clement,Red Sox,134,UL,370,'05,3,6,Starter,R,,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+
Jason Varitek,Red Sox,56,UL,360,'05,12,13,C+5,S,,,1-2,3-4,5-6,7-10,11-15,16-17,18-19,-,20+
