SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
10,1st,*Todd Stottlemyre,Diamondbacks,340,'00,4,6,Starter,R,5-7,1-4,8-11,12-15,16-17,18-19,-,20-,-,-
11,1st,*Tony Womack,Diamondbacks,220,'00,7,A,SS+3,L,-,-,1-2,3-,4-6,7-12,13-17,18-,19-,20+
17,1st,Andy Benes,Diamondbacks,350,'00,4,6,Starter,R,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-
20,1st,Andy Fox,Diamondbacks,190,'00,7,B,SS+1,L,-,1-,2-,3-,4-9,10-15,16-,17-,18-,19-20
22,1st,Bernard Gilkey,Diamondbacks,330,'00,9,B,LF-RF+1,R,-,1-,2-,3-5,6-10,11-15,-,16-18,-,19-20
27,1st,Dan Plesac,Diamondbacks,90,'00,4,1,Reliever,L,8-9,1-7,10-11,12-15,16-,17-19,-,20-,-,-
29,1st,Greg Swindell,Diamondbacks,140,'00,3,1,Reliever,L,6-7,1-5,8-11,12-17,18-,19-20,-,-,-,-
21,1st,Hanley Frias,Diamondbacks,290,'00,10,B,SS+1,S,-,-,1-3,4-5,6-11,12-18,19-,-,20-,-
16,1st,Jay Bell,Diamondbacks,410,'00,9,B,2B+2,R,-,1-2,3-,4-5,6-10,11-14,-,15-16,17-,18-20
28,1st,Kelly Stinnett,Diamondbacks,230,'00,6,B,C+6,R,-,1-3,-,4-,5-8,9-12,-,13-14,-,15-20
23,1st,Luis Gonzalez,Diamondbacks,450,'00,10,B,LF-RF+2,R,-,-,1-2,3-5,6-8,9-15,-,16-18,-,19-20
26,1st,Matt Mantei,Diamondbacks,150,'00,3,1,Closer,R,11-,1-10,12-13,14-16,17-20,-,-,-,-,-
30,1st,Matt Williams,Diamondbacks,330,'00,7,B,3B+3,R,-,-,1-,2-3,-,4-12,-,13-15,-,16-20
18,1st,Omar Daal,Diamondbacks,510,'00,5,07,Starter,R,5-6,1-4,7-11,12-15,16-17,18-19,-,20-,-,-
24,1st,Randy Johnson,Diamondbacks,630,'00,3,08,Starter,L,11-12,1-10,13-15,16-18,19-,20-,-,-,-,-
19,1st,Steve Finley,Diamondbacks,350,'00,7,B,OF+2,L,-,-,1-,2-3,4-7,8-10,11-,12-13,14-15,16-20
31,1st,Tony Womack,Diamondbacks,210,'00,7,A,LF-RF+2,L,-,-,1-2,3-,4-6,7-12,13-17,18-,19-,20+
25,1st,Travis Lee,Diamondbacks,200,'00,7,A,1B+0,L,-,-,1-2,3-,4-11,12-15,16-17,18-,-,19-20
71,1st,*Darren Dreifort,Dodgers,350,'00,4,6,Starter,R,6-7,1-5,8-12,13-15,16-17,18-19,-,20-,-,-
75,1st,*Gregg Olson,Dodgers,140,'00,3,1,Reliever,R,5-6,1-4,7-11,12-17,18-,19-20,-,-,-,-
72,1st,*Kevin Elster,Dodgers,180,'00,7,C,SS+2,R,-,1-,2-,3-,4-10,11-17,-,-,-,18-20
73,HRH,*Shawn Green,Dodgers,540,'00,9,A,LF-RF+1,L,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
73,1st,*Shawn Green,Dodgers,540,'00,9,A,LF-RF+1,L,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
70,1st,*Terry Adams,Dodgers,160,'00,6,1,Reliever,R,5-7,1-4,8-13,14-15,16-17,18-19,-,20-,-,-
74,1st,*Todd Hollandsworth,Dodgers,260,'00,7,B,"CF+2, LF-RF+1",L,-,1-2,3-,-,4-5,6-13,14-,15-16,17-,18-20
218,1st,Adrian Beltre,Dodgers,310,'00,8,A,3B+2,R,-,1-,2-3,4-5,6-9,10-15,16-,17-,18-,19-20
226,1st,Chan Ho Park,Dodgers,200,'00,4,6,Starter,R,6-8,1-5,9-11,12-14,15-17,18-19,-,20-,-,-
222,1st,Dave Hansen,Dodgers,290,'00,10,C,1B-3B+0,L,-,1-2,3-,4-5,6-14,15-17,-,18-19,-,20+
231,1st,Devon White,Dodgers,290,'00,7,A,OF+1,S,-,1-,2-,3-,4-7,8-14,15-16,17-,-,18-20
224,1st,Eric Karros,Dodgers,360,'00,8,B,1B+0,R,-,1-,2-,3-4,5-7,8-12,13-,14-16,-,17-20
232,1st,Eric Young,Dodgers,270,'00,9,A,2B+3,R,-,-,1-3,4-5,6-11,12-16,17-19,20-,-,-
228,1st,Gary Sheffield,Dodgers,460,'00,10,B,LF-RF+0,R,-,-,1-2,3-5,6-11,12-17,-,-,-,18-20
228,DS,Gary Sheffield,Dodgers,460,'00,10,B,LF-RF,R,-,-,1-2,3-5,6-11,12-17,-,-,-,18-20
229,1st,Ismael Valdes,Dodgers,180,'00,3,6,Starter,R,5-6,1-4,7-11,12-16,-,17-18,-,19-,-,20+
227,1st,Jeff Shaw,Dodgers,200,'00,6,1,Closer,R,4-6,1-3,7-10,11-15,16-,17-20,-,-,-,-
230,1st,Jose Vizcaino,Dodgers,80,'00,6,B,2B-SS+4,S,-,-,1-3,-,4-6,7-20,-,-,-,-
220,1st,Kevin Brown,Dodgers,600,'00,5,07,Starter,R,6-8,1-5,9-13,14-16,17-,18-19,-,20-,-,-
221,1st,Mark Grudzielanek,Dodgers,300,'00,9,B,SS+1,R,-,1-,2-4,5-,6-7,8-17,-,18-,19-,20+
219,1st,Pedro Borbon,Dodgers,140,'00,5,1,Reliever,L,4-5,1-3,6-9,10-15,16-18,19-,-,20-,-,-
225,1st,Raul Mondesi,Dodgers,340,'00,7,A,LF-RF+1,R,-,1-,2-,3-4,5-9,10-,11-13,14-,15-,16-20
223,1st,Todd Hundley,Dodgers,240,'00,6,B,C+4,L,-,1-2,-,3-4,5-11,12-,-,13-,-,14-20
86,1st,*Anthony Telford,Expos,70,'00,0,1,Reliever,R,6-8,1-5,9-15,16-18,-,19-20,-,-,-,-
84,1st,*Hideki Irabu,Expos,370,'00,5,5,Starter,R,5-7,1-4,8-10,11-15,16-,17-19,-,20-,-,-
85,1st,*Lee Stevens,Expos,230,'00,7,B,1B+1,L,-,1-2,3-,4-,5-6,7-14,-,15-17,-,18-20
83,1st,*Peter Bergeron,Expos,280,'00,8,A,OF+2,L,-,1-,2-,3-4,5-8,9-15,16-,17-19,-,20+
266,1st,Brad Fullmer,Expos,180,'00,6,B,1B+0,L,-,-,1-,2-,-,3-9,-,10-17,-,18-20
277,1st,Chris Widger,Expos,210,'00,7,C,C+4,R,-,1-2,3-,4-,5-7,8-14,-,15-17,-,18-20
269,1st,Dustin Hermanson,Expos,320,'00,3,6,Starter,R,5-7,1-4,8-11,12-16,17-,18-19,-,20-,-,-
274,1st,Javier Vazquez,Expos,390,'00,5,6,Starter,R,5-6,1-4,7-11,12-15,16-,17-18,-,19-20,-,-
275,1st,Jose Vidro,Expos,260,'00,8,C,2B+1,S,-,-,1-3,4-5,6-,7-13,-,14-18,-,19-20
271,1st,Manny Martinez,Expos,90,'00,5,A,OF+1,R,-,-,1-,2-,-,3-10,11-15,16-,17-20,-
264,1st,Michael Barrett,Expos,170,'00,7,C,"C+4, 3B+0",R,-,-,1-2,3-,4-5,6-14,-,15-18,19-,20+
272,1st,Mike Thurman,Expos,410,'00,5,5,Starter,R,4-6,1-3,7-11,12-15,16-17,18-19,-,20-,-,-
265,1st,Orlando Cabrera,Expos,150,'00,6,B,SS+5,R,-,-,1-3,4-5,-,6-13,-,14-17,18-,19-20
276,1st,Rondell White,Expos,340,'00,8,B,OF+2,R,-,-,1-3,4-,5-6,7-14,15-,16-,17-,18-20
263,1st,Shane Andrews,Expos,140,'00,6,C,3B+1,R,-,1-3,4-,5-,6-14,15-,-,-,-,16-20
270,1st,Steve Kline,Expos,160,'00,6,1,Reliever,L,7-,1-6,8-13,14-15,16-17,18-19,-,20-,-,-
273,1st,Ugueth Urbina,Expos,200,'00,6,1,Closer,R,9-10,1-8,11-12,13-15,16-17,18-20,-,-,-,-
267,1st,Vladimir Guerrero,Expos,370,'00,8,B,LF-RF+1,R,-,-,1-2,3-4,5-6,7-12,13-,14-15,16-,17-20
268,1st,Wilton Guerrero,Expos,150,'00,7,B,2B+1,S,-,-,1-4,-,-,5-15,16-,17-18,19-20,-
118,1st,*Bobby Estalella,Giants,120,'00,6,B,C+2,R,-,1-3,-,4-,5-12,13-15,-,16-17,-,18-20
120,1st,*Doug Mirabelli,Giants,210,'00,7,B,C+8,R,-,1-,2-,3-,4-8,9-14,15-,16-18,-,19-20
121,1st,*Joe Nathan,Giants,190,'00,3,5,Starter,R,5-7,1-4,8-13,14-16,17-,18-19,-,-,-,20+
119,1st,*Livan Hernandez,Giants,370,'00,4,07,Starter,R,5-7,1-4,8-11,12-15,16-,17-19,-,20-,-,-
376,1st,Alan Embree,Giants,170,'00,6,1,Reliever,L,6-,1-5,7-9,10-15,16-18,19-20,-,-,-,-
374,1st,Barry Bonds,Giants,560,'00,9,A,LF-RF+1,L,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
374,HRH,Barry Bonds,Giants,560,'00,9,A,LF-RF+1,L,-,-,1-,2-5,6-12,-,13-,14-15,-,16-20
381,1st,Bill Mueller,Giants,220,'00,9,B,3B+3,S,-,-,1-3,4-,5-11,12-19,-,20-,-,-
380,1st,Brent Mayne,Giants,250,'00,9,B,C+6,L,-,1-2,3-,4-,5-9,10-16,-,17-20,-,-
375,1st,Ellis Burks,Giants,440,'00,9,B,LF-RF+0,R,-,1-,2-,3-4,5-11,12-14,15-,16-,-,17-20
385,1st,F. P. Santangelo,Giants,350,'00,10,A,OF+1,S,-,1-2,3-,4-5,6-14,15-17,18-,19-20,-,-
386,1st,J. T. Snow,Giants,260,'00,8,C,1B+0,L,-,1-,-,2-3,4-10,11-16,-,17-,-,18-20
379,1st,Jeff Kent,Giants,340,'00,8,B,2B+3,R,-,1-,-,2-3,4-8,9-12,13-,14-17,-,18-20
379,DS,Jeff Kent,Giants,340,'00,8,B,2B+3,R,-,1-,-,2-3,4-8,9-12,13-,14-17,-,18-20
378,1st,John Johnstone,Giants,170,'00,6,1,Reliever,R,6-7,1-5,8-10,11-16,17-,18-19,-,20-,-,-
384,1st,Kirk Rueter,Giants,330,'00,4,6,Starter,L,4-6,1-3,6-10,11-15,16-,17-19,-,20-,-,-
373,1st,Marvin Benard,Giants,340,'00,8,A,"CF+1, LF-RF+0",L,-,1-,2-3,4-,5-8,9-13,14-15,16-17,18-,19-20
372,1st,Rich Aurilia,Giants,230,'00,7,B,SS+3,R,-,-,1-,2-3,4-6,7-16,-,17-,-,18-20
382,1st,Robb Nen,Giants,140,'00,3,1,Closer,R,8-9,1-7,10-13,14-16,17-,18-20,-,-,-,-
383,1st,Russ Ortiz,Giants,170,'00,0,6,Starter,R,7-8,1-6,9-13,14-18,19-20,-,-,-,-,-
377,1st,Shawn Estes,Giants,150,'00,0,6,Starter,L,7-9,1-6,10-14,15-18,19-,20-,-,-,-,-
41,1st,*Chuck Finley,Indians,460,'00,5,6,Starter,L,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-
44,1st,*Jaret Wright,Indians,60,'00,0,5,Starter,R,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-
40,DS,*Sandy Alomar Jr.,Indians,110,'00,6,C,C+5,R,-,-,1-3,4-,-,5-13,-,14-18,-,19-20
40,1st,*Sandy Alomar Jr.,Indians,110,'00,6,C,C+5,R,-,-,1-3,4-,-,5-13,-,14-18,-,19-20
42,1st,*Steve Karsay,Indians,190,'00,6,1,Closer,R,6-8,1-5,9-13,14-15,16-17,18-19,-,20-,-,-
43,1st,*Steve Reed,Indians,130,'00,5,1,Reliever,R,5-6,1-4,7-11,12-15,16-,17-19,-,20-,-,-
129,1st,Bartolo Colon,Indians,440,'00,3,6,Starter,R,5-7,1-4,8-13,14-17,18-,19-,-,20-,-,-
135,1st,Charles Nagy,Indians,320,'00,3,6,Starter,R,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-
128,1st,Dave Burba,Indians,370,'00,3,07,Starter,R,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-
133,1st,David Justice,Indians,350,'00,10,C,LF-RF+2,L,-,1-2,3-4,5-,6-12,13-17,-,18-,-,19-20
130,1st,Einar Diaz,Indians,160,'00,7,B,C+7,R,-,-,1-2,3-4,5-6,7-16,17-,18-19,-,20+
141,1st,Enrique Wilson,Indians,130,'00,7,B,2B-SS-3B+1,S,-,-,1-3,4-5,6-7,8-15,16-,17-20,-,-
127,1st,Harold Baines,Indians,340,'00,9,C,DH,L,-,-,1-2,3-4,5-8,9-16,-,17-,-,18-20
139,1st,Jim Thome,Indians,430,'00,10,C,1B+0,L,-,1-4,-,-,5-13,14-16,-,17-,-,18-20
134,1st,Kenny Lofton,Indians,440,'00,10,A,"CF+2, LF-RF+1",L,-,1-2,3-4,5-,6-11,12-16,17-,18-19,-,20+
136,1st,Manny Ramirez,Indians,560,'00,10,C,LF-RF+1,R,-,1-2,-,3-,4-9,10-14,-,15-16,-,17-20
136,HRH,Manny Ramirez,Indians,560,'00,10,C,LF-RF+1,R,-,1-2,-,3-,4-9,10-14,-,15-16,-,17-20
132,1st,Mike Jackson,Indians,200,'00,6,1,Closer,R,5-7,1-4,8-12,13-15,16-17,18-20,-,-,-,-
140,1st,Omar Vizquel,Indians,410,'00,10,A,SS+5,S,-,-,1-2,3-5,6-9,10-16,17-18,19-20,-,-
138,1st,Paul Shuey,Indians,160,'00,6,1,Reliever,R,7-8,1-6,9-13,14-15,16-17,18-19,-,20-,-,-
137,1st,Richie Sexson,Indians,290,'00,6,B,"LF-RF+0, 1B+0",R,-,1-,2-,-,3-5,6-10,-,11-,12-13,14-20
126,1st,Roberto Alomar,Indians,560,'00,10,A,2B+3,S,-,1-,2-,3-4,5-10,11-14,15-16,17-18,-,19-20
131,1st,Travis Fryman,Indians,150,'00,6,B,3B+2,R,-,-,1-,2-3,4-6,7-14,-,15-17,-,18-20
127,1st,*Aaron Sele,Mariners,380,'00,3,07,Starter,R,7-8,1-6,9-13,14-16,17-,18-19,-,20-,-,-
126,1st,*Arthur Rhodes,Mariners,180,'00,3,2,Reliever,L,7-,1-6,8-11,12-16,17-19,-,-,-,-,20+
124,1st,*Gil Meche,Mariners,380,'00,4,6,Starter,R,4-,1-3,5-10,11-15,16-18,19-,-,20-,-,-
125,1st,*John Olerud,Mariners,360,'00,10,C,1B+1,L,-,-,1-3,4-,5-12,13-16,-,17-18,-,19-20
123,1st,*Mark McLemore,Mariners,180,'00,8,B,"2B+3, LF-RF+1",S,-,-,1-2,3-4,5-11,12-18,19-,-,20-,-
122,1st,*Mike Cameron,Mariners,330,'00,8,A,OF+2,R,-,1-3,-,4-,5-11,12-,13-14,15-17,18-,19-20
400,1st,Alex Rodriguez,Mariners,510,'00,8,A,SS+5,R,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
400,HRH,Alex Rodriguez,Mariners,510,'00,8,A,SS+5,R,-,1-,2-,3-4,5-9,10-12,13-,14-,-,15-20
393,1st,Brian L. Hunter,Mariners,90,'00,5,A,LF-RF+2,R,-,-,1-2,-,3-,4-10,11-17,-,18-19,20+
401,1st,Dan Wilson,Mariners,170,'00,7,B,C+4,R,-,1-2,3-,4-5,6-,7-15,16-,17-18,19-,20+
387,1st,David Bell,Mariners,220,'00,7,B,2B+3,R,-,-,1-2,3-4,5-8,9-14,15-,16-17,-,18-20
396,1st,Edgar Martinez,Mariners,430,'00,10,B,DH,R,-,1-,2-,-,3-9,10-16,-,17-18,-,19-20
396,DS,Edgar Martinez,Mariners,430,'00,10,B,DH,R,-,1-,2-,-,3-9,10-16,-,17-18,-,19-20
390,1st,Freddy Garcia,Mariners,330,'00,3,6,Starter,R,6-7,1-5,8-12,13-16,17-,18-19,-,20-,-,-
398,1st,Jamie Moyer,Mariners,470,'00,3,07,Starter,L,4-6,1-3,7-12,13-17,-,18-19,-,20-,-,-
388,1st,Jay Buhner,Mariners,260,'00,9,C,LF-RF+0,R,-,1-4,-,-,5-15,16-17,-,18-,-,19-20
392,1st,John Halama,Mariners,490,'00,5,07,Starter,L,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
397,1st,Jose Mesa,Mariners,120,'00,4,1,Closer,R,4-5,1-3,6-10,11-14,15-16,17-20,-,-,-,-
399,1st,Jose Paniagua,Mariners,100,'00,3,1,Reliever,R,6-,1-5,7-12,13-15,16-18,19-20,-,-,-,-
391,1st,Ken Griffey Jr.,Mariners,590,'00,9,A,"CF+2, LF-RF+1",L,-,-,1-,2-5,6-10,11-13,14-,15-,-,16-20
394,1st,Raul Ibanez,Mariners,190,'00,6,B,"LF-RF+2, 1B+0",L,-,-,1-,2-,3-4,5-13,14-15,16-,-,17-20
389,1st,Russ Davis,Mariners,220,'00,6,B,3B+0,R,-,1-,-,2-3,4-6,7-13,-,14-,-,15-20
395,1st,Tom Lampkin,Mariners,340,'00,8,B,C+9,L,-,-,1-2,3-5,6-7,8-14,-,15-16,17-,18-20
57,1st,*Alex Fernandez,Marlins,450,'00,4,6,Starter,R,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-
56,1st,*Brant Brown,Marlins,160,'00,5,B,"LF-RF+1, 1B+0",L,-,1-3,-,4-,5-,6-9,-,10-13,14-,15-20
58,1st,*Cliff Floyd,Marlins,350,'00,8,A,LF-RF+0,L,-,1-2,3-,4-5,6-8,9-13,14-,15-17,-,18-20
59,1st,*Dan Miceli,Marlins,120,'00,3,1,Reliever,R,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-
60,1st,*Vladimir Nunez,Marlins,340,'00,3,6,Starter,R,6-7,1-5,8-11,12-16,17-18,19-,-,20-,-,-
178,1st,Alex Gonzalez,Marlins,190,'00,6,B,SS+2,R,-,1-,-,2-,-,3-13,-,14-15,16-17,18-20
172,1st,Antonio Alfonseca,Marlins,150,'00,3,1,Closer,R,5-6,1-4,7-13,14-16,17-,18-20,-,-,-,-
181,1st,Braden Looper,Marlins,120,'00,4,1,Reliever,R,4-6,1-3,7-12,13-15,16-,17-20,-,-,-,-
177,1st,Brian Edmondson,Marlins,60,'00,0,1,Reliever,R,5-7,1-4,8-13,14-18,19-,-,-,20-,-,-
183,1st,Brian Meadows,Marlins,100,'00,0,6,Starter,R,4-6,1-3,7-12,13-18,-,19-,-,20-,-,-
173,1st,Bruce Aven,Marlins,320,'00,9,B,LF-RF+1,R,-,1-2,3-,4-5,6-10,11-17,-,18-,-,19-20
174,1st,Dave Berg,Marlins,260,'00,8,B,"2B-SS+3, 3B+1",R,-,1-2,3-,4-,5-7,8-17,-,18-19,-,20+
185,1st,Dennis Springer,Marlins,210,'00,0,07,Starter,R,4-6,1-3,7-12,13-18,-,19-20,-,-,-,-
180,1st,Derrek Lee,Marlins,100,'00,5,B,1B+1,R,-,1-3,-,-,4-6,7-13,14-,15-16,-,17-20
175,1st,Luis Castillo,Marlins,330,'00,9,A,2B+3,S,-,1-,2-4,-,5-9,10-15,16-18,19-,20-,-
175,FS,Luis Castillo,Marlins,330,'00,9,A,2B+3,S,-,1-,2-4,-,5-9,10-15,16-18,19-,20-,-
179,1st,Mark Kotsay,Marlins,150,'00,6,B,LF-RF+1,L,-,-,1-,2-3,-,4-13,14-,15-16,17-18,19-20
182,1st,Mike Lowell,Marlins,200,'00,7,C,3B+2,R,-,1-2,-,3-4,5-8,9-15,-,16-17,-,18-20
184,1st,Mike Redmond,Marlins,200,'00,9,C,C+7,R,-,1-,2-3,4-,5-8,9-19,-,20-,-,-
186,1st,Preston Wilson,Marlins,350,'00,8,B,OF+0,R,-,1-4,-,5-,6-9,10-14,15-,16-,-,17-20
176,1st,Ryan Dempster,Marlins,220,'00,4,6,Starter,R,6-7,1-5,8-11,12-14,15-17,18-19,-,20-,-,-
90,1st,*Bobby J. Jones,Mets,450,'00,5,6,Starter,R,4-6,1-3,7-11,12-15,16-,17-19,-,20-,-,-
87,1st,*Derek Bell,Mets,190,'00,7,A,LF-RF+1,R,-,1-2,3-5,-,6-10,11-16,17-,18-,-,19-20
88,1st,*John Franco,Mets,100,'00,3,1,Reliever,L,7-10,1-6,11-14,15-16,17-,18-19,-,20-,-,-
89,1st,*Mike Hampton,Mets,410,'00,3,6,Starter,L,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-
91,1st,*Todd Pratt,Mets,270,'00,9,B,C+5,R,-,1-3,-,4-5,6-10,11-19,-,-,-,20+
92,1st,*Todd Zeile,Mets,270,'00,8,C,1B+0,R,-,-,1-2,3-4,5-8,9-14,-,15-17,-,18-20
287,1st,Al Leiter,Mets,350,'00,4,6,Starter,R,6-,1-5,7-11,12-15,16-17,18-19,-,20-,-,-
279,1st,Armando Benitez,Mets,190,'00,3,1,Closer,R,13-,1-12,14-,15-18,19-20,-,-,-,-,-
284,1st,Darryl Hamilton,Mets,290,'00,9,B,OF+1,L,-,-,1-3,4-,5-8,9-18,-,19-,-,20+
281,1st,Dennis Cook,Mets,90,'00,3,1,Reliever,R,8-9,1-7,10-12,13-17,18-,-,-,19-,-,20+
278,1st,Edgardo Alfonzo,Mets,350,'00,9,B,2B+5,R,-,-,1-,2-5,6-10,11-16,-,17-18,-,19-20
288,1st,John Olerud,Mets,290,'00,10,C,1B+1,L,-,-,1-3,4-,5-12,13-17,-,18-19,-,20+
291,1st,Kenny Rogers,Mets,190,'00,0,6,Starter,R,5-6,1-4,7-14,15-18,19-,20-,-,-,-,-
294,1st,Masato Yoshii,Mets,270,'00,3,6,Starter,R,5-,1-4,6-10,11-16,17-,18-,-,19-20,-,-
283,1st,Matt Franco,Mets,210,'00,8,C,"1B-3B+0, LF-RF+1",L,-,-,1-3,4-,5-12,13-17,-,18-,-,19-20
290,1st,Mike Piazza,Mets,410,'00,8,B,C+4,R,-,-,1-2,3-4,5-6,7-13,-,14-15,-,16-20
290,HRH,Mike Piazza,Mets,410,'00,8,B,C+4,R,-,-,1-2,3-4,5-6,7-13,-,14-15,-,16-20
286,1st,Orel Hershiser,Mets,360,'00,4,6,Starter,R,4-6,1-3,7-12,13-15,16-17,18-19,-,20-,-,-
289,1st,Rey Ordonez,Mets,90,'00,6,B,SS+5,R,-,-,1-2,3-,4-,5-17,18-,19-20,-,-
285,1st,Rickey Henderson,Mets,450,'00,10,A,LF-RF+1,R,-,1-,2-,3-,4-10,11-15,16-17,18-19,-,20+
292,1st,Robin Ventura,Mets,370,'00,9,C,3B+3,L,-,1-,2-,3-5,6-9,10-15,-,16-17,-,18-20
292,DS,Robin Ventura,Mets,370,'00,9,C,3B+3,L,-,1-,2-,3-5,6-9,10-15,-,16-17,-,18-20
280,1st,Roger Cedeno,Mets,400,'00,10,A,LF-RF+1,S,-,1-3,4-5,-,6-10,11-14,15-18,19-,20-,-
282,1st,Shawon Dunston,Mets,270,'00,7,A,"CF+2, LF-RF+1",R,-,1-,2-,3-,-,4-14,15-16,17-,18-,19-20
293,1st,Turk Wendell,Mets,100,'00,3,1,Reliever,R,7-8,1-6,9-11,12-16,17-,18-19,-,20-,-,-
17,1st,*Harold Baines,Orioles,340,'00,9,C,DH,L,-,-,1-2,3-4,5-8,9-16,-,17-,-,18-20
19,1st,*Mike Trombley,Orioles,130,'00,4,1,Reliever,R,6-7,1-5,8-11,12-16,17-,18-19,-,20-,-,-
18,1st,*Will Clark,Orioles,340,'00,9,B,1B+0,L,-,1-,2-,3-4,5-9,10-15,-,16-18,-,19-20
51,1st,Albert Belle,Orioles,390,'00,9,B,LF-RF+0,R,-,-,1-2,3-4,5-10,11-14,15-,16-17,-,18-20
62,1st,B. J. Surhoff,Orioles,300,'00,8,B,LF-RF+2,L,-,-,1-2,3-5,6-,7-15,-,16-17,-,18-20
62,DS,B. J. Surhoff,Orioles,300,'00,8,B,LF-RF+2,L,-,-,1-2,3-5,6-,7-15,-,16-17,-,18-20
50,1st,Brady Anderson,Orioles,500,'00,10,A,OF+1,L,-,1-,2-,3-5,6-12,13-16,17-,18-,-,19-20
61,1st,Cal Ripken Jr.,Orioles,350,'00,8,C,3B+2,R,-,-,1-3,4-,-,5-12,-,13-16,-,17-20
56,1st,Charles Johnson,Orioles,220,'00,8,C,C+8,R,-,1-3,4-,5-,6-11,12-17,-,18-,-,19-20
54,1st,Delino Deshields,Orioles,230,'00,8,A,2B+3,L,-,-,1-3,4-5,6-10,11-18,19-,-,-,20+
53,1st,Jeff Conine,Orioles,180,'00,7,C,1B+1,R,-,-,1-,2-3,4-5,6-14,-,15-18,-,19-20
60,1st,Jeff Reboulet,Orioles,80,'00,7,B,"2B+5, 3B+3",R,-,-,1-3,4-5,6-17,18-20,-,-,-,-
58,1st,Jesse Orosco,Orioles,110,'00,3,1,Reliever,L,7-,1-6,8-12,13-16,17-18,19-,-,20-,-,-
52,1st,Mike Bordick,Orioles,190,'00,7,B,SS+5,R,-,-,1-,2-3,4-7,8-15,16-,17-18,19-,20+
57,1st,Mike Mussina,Orioles,470,'00,3,07,Starter,R,6-7,1-5,8-13,14-17,-,18-19,-,20-,-,-
63,1st,Mike Timlin,Orioles,190,'00,6,1,Closer,R,5-6,1-4,7-12,13-15,16-17,18-19,-,20-,-,-
49,1st,Rich Amaral,Orioles,220,'00,8,A,OF+1,R,-,1-,2-5,-,6-9,10-15,16-17,18-19,20-,-
55,1st,Scott Erickson,Orioles,400,'00,4,07,Starter,R,3-4,1-2,5-12,13-15,16-,17-19,-,20-,-,-
59,1st,Sidney Ponson,Orioles,370,'00,3,07,Starter,R,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
117,1st,*Al Martin,Padres,380,'00,8,A,LF-RF+1,L,-,1-2,3-,4-,5-7,8-12,13-,14-16,17-,18-20
112,1st,*Bret Boone,Padres,230,'00,7,B,2B+2,R,-,1-,2-,3-4,5-7,8-13,14-,15-17,-,18-20
114,1st,*Carlos Hernandez,Padres,170,'00,6,B,C+8,R,-,-,1-2,3-,-,4-16,-,17-,-,18-20
116,1st,*Dave Magadan,Padres,170,'00,9,C,"3B+2,1B+0",L,-,1-,2-3,4-5,6-12,13-19,-,20-,-,-
113,1st,*Matt Clement,Padres,170,'00,0,6,Starter,R,6-7,1-5,8-14,15-18,19-,20-,-,-,-,-
115,1st,*Ryan Klesko,Padres,500,'00,10,B,1B+0,L,-,1-,2-3,4-5,6-9,10-15,-,16-17,-,18-20
357,1st,Andy Ashby,Padres,500,'00,4,07,Starter,R,5-7,1-4,8-13,14-16,17-,18-19,-,20-,-,-
358,1st,Ben Davis,Padres,150,'00,6,B,C+9,S,-,1-2,3-,-,4-6,7-15,-,16-18,-,19-20
362,1st,Damian Jackson,Padres,210,'00,7,A,SS+3,R,-,1-3,-,4-5,6-12,-,13-16,17-18,-,19-20
365,1st,Eric Owens,Padres,210,'00,7,A,"CF+2, LF-RF+1",R,-,-,1-3,4-,5-7,8-13,14-16,17-18,19-,20+
368,1st,John Vander Wal,Padres,280,'00,9,B,"LF-RF+1, 1B+0",L,-,1-3,4-5,-,6-11,12-16,-,17-19,-,20+
370,1st,Matt Whisenant,Padres,80,'00,4,1,Reliever,L,5-6,1-4,7-12,13-14,15-17,18-19,-,20-,-,-
364,1st,Phil Nevin,Padres,350,'00,8,C,"C+5, 3B+3",R,-,1-,2-,3-4,5-10,11-13,-,14-16,-,17-20
369,1st,Quilvio Veras,Padres,360,'00,9,A,2B+3,S,-,1-2,3-5,-,6-10,11-15,16-17,18-19,-,20+
367,1st,Reggie Sanders,Padres,470,'00,9,A,LF-RF+1,R,-,1-2,3-,4-5,6-10,11-13,14-15,16-,17-,18-20
366,1st,Ruben Rivera,Padres,210,'00,6,A,OF+2,R,-,1-4,-,5-,6-14,-,-,15-,-,16-20
360,1st,Sterling Hitchcock,Padres,430,'00,5,6,Starter,L,7-8,1-6,9-11,12-15,16-,17-19,-,20-,-,-
