SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
21,UL,Randy Johnson,Diamondbacks,560,'02,3,07,Starter,L,1-3,4-13,14-16,17-18,19-,20-26,-,-,-,27+
22,UL,Byung-Hyun Kim,Diamondbacks,160,'02,3,1,Reliever,R,1-4,5-12,13-16,17-18,19-23,-,-,-,-,24+
23,UL,Albie Lopez,Diamondbacks,180,'02,3,6,Starter,R,1-4,5-7,8-13,14-16,17-,18-19,-,20-21,-,22+
24,UL,Curt Schilling,Diamondbacks,400,'02,4,07,Starter,R,1-3,4-10,11-14,15-17,-,18-19,-,20-,-,21+
25,UL,Matt Williams,Diamondbacks,200,'02,9,12,3B+2,R,-,1-,2-3,4-6,7-,8-14,-,15-18,-,19+
26,UL,Tony Womack,Diamondbacks,150,'02,9,22,SS+2,L,-,-,1-5,6-7,8-,9-16,17-18,19-,20-25,26+
31,ASG,Luis Gonzalez,Diamondbacks,630,'02,12,14,LF-RF+1,L,-,1-,2-3,4-5,6-10,11-14,-,15-17,-,18+
36,UL,**Danny Bautista,Diamondbacks,150,'02,10,16,LF-RF+1,R,-,1-,2-5,6-7,8-,9-17,-,18-19,-,20+
43,UL,*Craig Counsell,Diamondbacks,200,'02,10,17,2B+5,L,-,1-3,4-5,6-7,8-11,12-20,-,21-23,-,24+
45,ASG,Curt Schilling,Diamondbacks,640,'02,5,07,Starter,R,1-2,3-10,11-14,15-18,-,19-,-,20-,-,21+
48,ASG,Junior Spivey,Diamondbacks,330,'02,11,16,2B+0,R,-,1-3,4-5,6-,7-9,10-14,15-16,17-18,19-,20+
124,UL,**Mike Myers,Diamondbacks,90,'02,3,1,Reliever,L,1-3,4-9,10-15,16-17,18-,19-27,-,-,-,28+
137,UL,**Rick Helling,Diamondbacks,10,'02,3,6,Starter,R,1-4,5-8,9-13,14-16,-,17-,-,18-19,-,20+
5,UL,**Brian Jordan,Dodgers,200,'02,10,14,LF-RF+2,R,-,1-,2-3,4-6,7-8,9-16,-,17-18,-,19+
20,UL,**Cesar Izturis,Dodgers,210,'02,8,19,"2B+5, SS+2",S,-,-,1-5,-,-,6-16,17-,18-19,20-25,26+
30,ASG,Eric Gagne,Dodgers,200,'02,3,1,Closer,R,1-2,3-8,9-13,14-18,19-,20-,-,21-,-,22+
32,ASG,Shawn Green,Dodgers,500,'02,11,18,LF-RF+1,L,-,1-3,4-5,6-,7-10,11-14,15-,16-,-,17+
35,UL,*Eric Karros,Dodgers,140,'02,9,11,1B+1,R,-,1-3,4-6,7-,8-10,11-16,-,17-18,-,19+
40,ASG,Odalis Perez,Dodgers,330,'02,4,07,Starter,L,1-3,4-8,9-13,14-16,17-,18-20,-,21-,-,22+
48,UL,*Shawn Green,Dodgers,400,'02,11,18,LF-RF+1,L,-,1-3,4-5,6-,7-10,11-14,15-,16-17,-,18+
75,UL,*Kazuhisa Ishii,Dodgers,380,'02,4,6,Starter,L,1-3,4-10,11-15,16-17,18-26,-,-,-,-,27+
85,UL,*Adrian Beltre,Dodgers,190,'02,9,18,3B+1,R,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
93,UL,**Kevin Brown,Dodgers,530,'02,4,6,Starter,R,1-3,4-8,9-16,17-,18-,19-25,-,-,-,26+
95,UL,**Eric Gagne,Dodgers,130,'02,1,6,Starter,R,1-4,5-9,10-13,14-18,19-,-,-,20-,-,21+
108,SS,*Mike Piazza '97,Dodgers,500,'02,13,16,C+6,R,-,1-2,3-,4-7,8-11,12-15,-,16-17,-,18+
120,UL,**Hideo Nomo,Dodgers,330,'02,1,6,Starter,R,1-4,5-12,13-17,18-19,20-21,-,-,-,-,22+
139,UL,**Paul Quantrill,Dodgers,110,'02,5,1,Reliever,R,1-2,3-6,7-14,15-16,-,17-19,-,20-23,-,24+
146,UL,**Kazuhisa Ishii,Dodgers,290,'02,4,6,Starter,L,1-3,4-11,12-15,16-17,18-19,20-24,-,-,-,25+
165,UL,Terry Adams,Dodgers,450,'02,4,07,Starter,R,1-2,3-7,8-14,15-16,17-,18-26,-,-,-,27+
166,UL,Adrian Beltre,Dodgers,200,'02,9,18,3B+1,R,-,1-2,3-4,5-6,7-8,9-15,16-,17-18,-,19+
167,UL,Alex Cora,Dodgers,10,'02,8,13,SS+2,L,-,-,1-5,6-7,8-10,11-17,-,18-19,20-24,25+
168,UL,Tom Goodwin,Dodgers,110,'02,8,24,OF+1,L,-,1-,2-5,6-,7-10,11-16,17-19,-,20-23,24+
169,UL,Shawn Green,Dodgers,400,'02,11,18,LF-RF+1,L,-,1-2,3-5,6-,7-10,11-14,15-,16-17,-,18+
170,UL,Marquis Grissom,Dodgers,110,'02,7,15,"CF+2, LF-RF+1",R,-,1-4,5-7,-,-,8-13,14-,15-16,-,17+
171,UL,Mark Grudzielanek,Dodgers,150,'02,10,16,2B+2,R,-,1-,2-5,6-7,8-9,10-18,-,19-,-,20+
172,UL,Eric Karros,Dodgers,120,'02,9,11,1B+1,R,-,1-4,5-6,7-,8-11,12-16,-,17-18,-,19+
173,UL,Paul Lo Duca,Dodgers,340,'02,12,11,C+7,R,-,-,1-4,5-7,8-10,11-16,-,17-18,-,19+
174,UL,Chan Ho Park,Dodgers,400,'02,2,07,Starter,R,1-4,5-10,11-15,16-18,19-24,-,-,-,-,25+
175,UL,Luke Prokopec,Dodgers,160,'02,4,6,Starter,R,1-4,5-7,8-11,12-16,17-,18-19,-,-,-,20+
176,UL,Gary Sheffield,Dodgers,420,'02,12,15,LF-RF+1,R,-,1-,2-4,5-6,7-11,12-16,-,17-,-,18+
33,ASG,Vladimir Guerrero,Expos,450,'02,11,18,LF-RF+1,R,-,1-,2-5,6-7,8-10,11-13,14-,15-17,-,18+
49,ASG,Jose Vidro,Expos,290,'02,10,14,2B+1,S,-,1-2,3-4,5-6,7-8,9-16,-,17-19,-,20+
59,UL,**Lee Stevens,Expos,130,'02,10,12,1B+0,L,-,1-4,5-7,-,8-12,13-16,-,17-18,-,19+
85,UL,**Andres Galarraga,Expos,150,'02,10,11,1B+0,R,-,1-5,6-,-,8-11,12-15,-,16-18,-,19+
100,UL,**Carl Pavano,Expos,170,'02,1,5,Starter,R,1-4,5-9,10-14,15-17,-,18-21,-,-,-,22+
112,SS,*Pedro Martinez '97,Expos,830,'02,6,07,Starter,R,1-2,3-11,12-14,15-17,18-,19-24,-,-,-,25+
125,SS,*Tim Raines '83,Expos,390,'02,12,24,LF-RF+2,S,-,1-,2-3,4-6,7-12,13-14,15-17,18-,19-20,21+
200,UL,Tony Armas Jr,Expos,170,'02,2,6,Starter,R,1-3,4-8,9-13,14-17,18-19,20-25,-,-,-,26+
201,UL,Michael Barrett,Expos,50,'02,8,12,C+2,R,-,-,1-6,-,7-,8-15,-,16-19,20-23,24+
202,UL,Peter Bergeron,Expos,40,'02,7,21,OF+1,L,-,1-2,3-5,-,6-9,10-17,18-,19-,20-25,26+
203,UL,Orlando Cabrera,Expos,280,'02,10,17,SS+5,R,-,-,1-4,5-7,8-9,10-15,16-,17-19,-,20+
204,UL,Vladimir Guerrero,Expos,400,'02,11,18,LF-RF+1,R,-,1-,2-5,6-7,8-9,10-13,14-,15-17,-,18+
205,UL,Graeme Lloyd,Expos,50,'02,5,1,Reliever,L,1-2,3-5,6-12,13-15,16-,17-19,-,20-25,-,26+
206,UL,Scott Strickland,Expos,90,'02,2,1,Reliever,R,1-4,5-11,12-15,16-18,19-23,-,-,-,-,24+
207,UL,Fernando Tatis,Expos,20,'02,10,10,3B+0,R,-,1-5,-,6-,7-12,13-18,-,19-23,-,24+
208,UL,Mike Thurman,Expos,150,'02,4,6,Starter,R,1-3,4-6,7-12,13-15,16-,17-19,-,20-,-,21+
209,UL,Javier Vazquez,Expos,410,'02,3,07,Starter,R,1-3,4-9,10-14,15-18,-,19-,-,20-23,-,24+
210,UL,Jose Vidro,Expos,270,'02,11,14,2B+1,S,-,-,1-4,5-6,7-8,9-16,-,17-19,-,20+
211,UL,Brad Wilkerson,Expos,160,'02,11,13,LF-RF+1,L,-,1-4,-,5-6,7-13,14-18,-,19-,-,20+
2,UL,*Robb Nen,Giants,250,'02,4,1,Closer,R,1-3,4-10,11-15,16-18,-,19-25,-,-,-,26+
4,UL,**Tsuyoshi Shinjo,Giants,170,'02,9,13,OF+2,R,-,1-3,4-5,6-,7-9,10-17,-,18-19,-,20+
15,UL,*Mark Kotsay,Giants,250,'02,10,16,"CF+2, LF-RF+1",L,-,1-,2-3,4-6,7-10,11-15,16-,17-19,-,20+
24,UL,**David Bell,Giants,170,'02,9,12,3B+3,R,-,-,1-2,3-7,8-9,10-16,-,17-18,-,19+
27,ASG,Barry Bonds,Giants,910,'02,14,14,LF-RF+0,L,-,1-2,3-,4-5,6-14,15-,-,16-,-,17+
31,UL,**Reggie Sanders,Giants,280,'02,10,18,LF-RF+1,R,-,1-5,-,6-7,8-12,13-14,15-,16-,-,17+
38,ASG,Robb Nen,Giants,280,'02,4,1,Closer,R,1-3,4-10,11-15,16-18,19-,20-25,-,-,-,26+
44,ASG,Benito Santiago,Giants,210,'02,9,15,C+6,R,-,1-,2-4,5-,6-,7-16,-,17-19,20-23,24+
71,UL,*Ryan Jensen,Giants,10,'02,2,6,Starter,R,1-3,4-5,6-11,12-15,16-18,19-23,-,-,-,24+
90,UL,*Tsuyoshi Shinjo,Giants,80,'02,8,11,CF+1,R,-,1-2,3-5,6-7,8-12,13-17,-,18-,19-,20+
109,UL,**Livan Hernandez,Giants,150,'02,4,07,Starter,R,1-2,3-5,6-11,12-15,16-,17-19,-,20-23,-,24+
118,SS,*Jeff Kent '98,Giants,400,'02,12,12,2B+4,R,-,1-5,6-,7-,8-10,11-15,16-,17-18,-,19+
125,UL,**Jason Schmidt,Giants,140,'02,4,6,Starter,R,-,1-4,5-10,11-14,15-18,19-,-,20-26,-,27+
149,UL,**Kurt Ainsworth,Giants,60,'02,3,1,Reliever,R,1-4,5-9,10-14,15-16,17-,18-25,-,-,-,26+
281,UL,Rich Aurilia,Giants,450,'02,11,14,SS+4,R,-,1-,2-3,4-6,7-8,9-15,-,16-17,-,18+
282,UL,Marvin Benard,Giants,220,'02,9,18,OF+1,L,-,1-,2-4,5-6,7-9,10-15,16-,17-18,-,19+
283,UL,Barry Bonds,Giants,860,'02,14,14,LF-RF+0,L,-,1-2,3-,4-5,6-13,14-,-,15-16,-,17+
284,UL,Shawn Estes,Giants,320,'02,5,6,Starter,L,1-3,4-6,7-12,13-15,16-17,18-19,-,20-26,-,27+
285,UL,Pedro Feliz,Giants,60,'02,7,14,3B+0,R,-,1-3,4-5,6-,-,7-14,-,15-16,17-,18+
286,UL,Jeff Kent,Giants,390,'02,11,14,2B+4,R,-,1-,2-3,4-6,7-10,11-15,-,16-18,-,19+
287,UL,Robb Nen,Giants,230,'02,3,1,Closer,R,1-3,4-11,12-16,17-19,-,20-26,-,-,-,27+
288,UL,Russ Ortiz,Giants,570,'02,4,07,Starter,R,1-3,4-7,8-13,14-17,18-,19-26,-,-,-,27+
289,UL,Felix Rodriguez,Giants,210,'02,3,1,Reliever,R,1-3,4-11,12-14,15-19,20-26,-,-,-,-,27+
290,UL,Kirk Rueter,Giants,150,'02,4,6,Starter,L,1-3,4-5,6-11,12-15,16-,17-19,-,20-21,-,22+
291,UL,Benito Santiago,Giants,120,'02,8,15,C+6,R,-,1-,2-4,5-,6-,7-16,-,17-19,20-23,24+
292,UL,J.T. Snow,Giants,120,'02,11,12,1B+0,L,-,1-4,5-6,7-,8-13,14-18,-,19-,-,20+
293,UL,John Vander Wal,Giants,180,'02,11,15,LF-RF+1,L,-,1-4,5-,6-7,8-12,13-17,-,18-19,-,20+
9,UL,**Ricky Gutierrez,Indians,170,'02,11,15,SS+1,R,-,-,1-6,7-,8-11,12-18,-,19-,-,20+
11,UL,*Einar Diaz,Indians,80,'02,9,12,C+8,R,-,1-,2-5,6-7,8-10,11-17,-,18-23,-,24+
24,ASG,Omar Vizquel,Indians,410,'02,12,19,"SS+4, 2B+1",S,-,1-,2-5,6-7,8-12,13-15,16-,17-,18-19,20+
29,UL,**Brady Anderson,Indians,60,'02,9,19,LF-RF+1,L,-,1-,2-5,6-7,8-14,15-18,19-,-,20-22,23+
32,UL,*Omar Vizquel,Indians,310,'02,11,19,SS+4,S,-,1-,2-5,6-7,8-11,12-15,16-,17-,18-21,22+
36,UL,*Ryan Drese,Indians,110,'02,3,2,Reliever,R,1-3,4-7,8-16,17-,18-,19-,-,20-27,-,28+
41,UL,*Bob Wickman,Indians,210,'02,4,1,Closer,R,1-2,3-8,9-15,16-17,-,18-27,-,-,-,28+
46,UL,*Paul Shuey,Indians,160,'02,5,1,Reliever,R,1-,2-10,11-15,16-17,-,18-19,-,20-26,-,27+
48,UL,**Travis Fryman,Indians,10,'02,10,10,3B+0,R,-,1-2,3-4,5-7,8-11,12-18,-,19-25,-,26+
68,UL,**Milton Bradley,Indians,120,'02,8,18,OF+1,S,-,1-4,5-6,-,7-10,11-14,15-,16-19,20-27,28+
69,UL,**Matt Lawton,Indians,270,'02,12,16,LF-RF+1,L,-,1-,2-7,-,8-12,13-16,17-,18-19,-,20+
83,UL,*Ellis Burks,Indians,190,'02,11,14,---+0,R,-,1-3,4-5,6-7,8-12,13-18,-,19-,-,20+
98,UL,Roberto Alomar,Indians,520,'02,12,21,2B+2,S,-,-,1-3,4-5,6-9,10-15,16-,17-18,19-,20+
99,UL,Danys Baez,Indians,180,'02,4,1,Reliever,R,1-4,5-11,12-15,16-18,19-,-,-,20-24,-,25+
100,UL,Russell Branyan,Indians,240,'02,9,14,"3B+1, LF-RF+1",L,-,1-6,-,-,7-11,12-14,-,15-16,-,17+
101,UL,Ellis Burks,Indians,280,'02,12,14,---,R,-,1-2,3-5,6-7,8-12,13-16,-,17-18,-,19+
102,UL,Bartolo Colon,Indians,280,'02,4,07,Starter,R,1-3,4-8,9-13,14-16,17-,18-19,-,20-22,-,23+
103,UL,Marty Cordova,Indians,220,'02,11,12,LF-RF+2,R,-,1-3,4-6,7-,8-9,10-16,-,17-18,-,19+
104,UL,Einar Diaz,Indians,110,'02,10,12,C+8,R,-,-,1-5,6-7,8-10,11-17,-,18-24,-,25+
104,SS,*Jim Thome '96,Indians,530,'02,14,12,1B+1,L,-,1-5,6-,7-,8-13,14-,-,15-17,-,18+
105,UL,Juan Gonzalez,Indians,380,'02,12,12,LF-RF+1,R,-,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
106,UL,Ricardo Rincon,Indians,170,'02,3,1,Reliever,L,1-3,4-9,10-15,16-18,19-,20-26,-,-,-,27+
107,UL,C.C. Sabathia,Indians,340,'02,1,5,Starter,L,1-4,5-11,12-14,15-19,20-23,-,-,-,-,24+
108,UL,Paul Shuey,Indians,110,'02,5,1,Reliever,R,1-,2-9,10-14,15-16,17-,18-19,-,20-26,-,27+
109,UL,Jim Thome,Indians,360,'02,12,10,1B+0,L,-,1-6,-,-,7-12,13-16,-,17-,-,18+
110,UL,Omar Vizquel,Indians,150,'02,10,19,SS+3,S,-,-,1-5,6-7,8-11,12-17,18-,19-,20-26,27+
111,UL,Bob Wickman,Indians,250,'02,5,1,Closer,R,1-2,3-8,9-15,16-17,-,18-26,-,-,-,27+
119,SS,*Kenny Lofton '93,Indians,410,'02,13,25,CF+4,L,-,1-3,4-5,6-7,8-11,12-,13-16,17-,18-24,25+
3,UL,**Ben Davis,Mariners,130,'02,10,11,C+6,S,-,1-3,4-5,6-,7-12,13-18,-,19-,-,20+
6,ASG,Freddy Garcia,Mariners,590,'02,4,07,Starter,R,1-3,4-9,10-14,15-18,-,19-,-,20-23,-,24+
6,UL,*Shigetoshi Hasegawa,Mariners,140,'02,5,1,Reliever,R,1-3,4-7,8-12,13-16,17-,18-19,-,20-25,-,26+
12,ASG,Ichiro Suzuki,Mariners,400,'02,13,22,LF-RF+2,L,-,-,1-6,7-,8-9,10-16,17-18,19-,20-23,24+
20,ASG,Kazuhiro Sasaki,Mariners,410,'02,5,1,Closer,R,1-3,4-9,10-13,14-19,-,20-,-,21-24,-,25+
27,UL,*Ruben Sierra,Mariners,310,'02,11,13,LF-RF+1,S,-,1-2,3-4,5-7,8-,9-14,-,15-17,-,18+
32,UL,**Jeff Cirillo,Mariners,280,'02,10,17,3B+3,R,-,-,1-4,5-,6-7,8-16,17-,18-19,-,20+
75,UL,**Desi Relaford,Mariners,290,'02,11,15,"SS+3, 2B+2",S,-,1-3,4-,5-7,8-10,11-15,16-,17-19,-,20+
93,SS,*Alex Rodriguez '96,Mariners,620,'02,13,17,SS+4,R,-,1-4,5-,6-,7-11,12-14,15-,16-17,18-,19+
102,UL,**Paul Abbott,Mariners,260,'02,1,6,Starter,R,1-4,5-8,9-13,14-18,19-22,-,-,-,-,23+
107,SS,*Randy Johnson '95,Mariners,520,'02,5,6,Starter,L,1-2,3-11,12-14,15-16,17-19,20-27,-,-,-,28+
110,SS,*Edgar Martinez '95,Mariners,660,'02,15,12,3B+0,R,-,1-4,5-6,7-,8-12,13-15,-,16-19,-,20+
113,UL,**Joel Pineiro,Mariners,620,'02,3,6,Starter,R,1-4,5-9,10-14,15-19,20-28,-,-,-,-,29+
120,SS,*Ken Griffey Jr. '97,Mariners,540,'02,13,15,CF+4,L,-,1-4,5-,6-7,8-12,13-14,15-,16-,-,17+
294,UL,Bret Boone,Mariners,440,'02,12,14,2B+5,R,-,1-2,3-5,6-7,8-9,10-16,-,17-18,-,19+
295,UL,Mike Cameron,Mariners,340,'02,11,20,OF+2,R,-,1-5,-,6-7,8-12,13-15,16-,17-18,-,19+
296,UL,Freddy Garcia,Mariners,570,'02,4,07,Starter,R,1-3,4-7,8-14,15-18,-,19-,-,20-26,-,27+
297,UL,Carlos Guillen,Mariners,210,'02,10,17,SS+4,S,-,1-2,3-4,5-6,7-11,12-18,-,19-,20-24,25+
298,UL,Edgar Martinez,Mariners,390,'02,12,12,---,R,-,1-2,3-,4-5,6-11,12-15,-,16-18,-,19+
299,UL,Mark McLemore,Mariners,350,'02,12,23,"LF-RF+1, 3B+1",S,-,1-2,3-4,5-6,7-12,13-16,17-18,19-,20-24,25+
300,UL,Jamie Moyer,Mariners,470,'02,2,6,Starter,L,1-4,5-7,8-13,14-19,-,20-22,-,-,-,23+
301,UL,Jeff Nelson,Mariners,260,'02,5,1,Reliever,R,1-2,3-10,11-14,15-17,18-26,-,-,-,-,27+
302,UL,John Olerud,Mariners,260,'02,12,12,1B+0,L,-,-,1-3,4-6,7-11,12-17,-,18-19,-,20+
303,UL,Arthur Rhodes,Mariners,280,'02,4,1,Reliever,L,1-2,3-11,12-16,17-19,-,20-26,-,-,-,27+
304,UL,Kazuhiro Sasaki,Mariners,250,'02,5,1,Closer,R,1-3,4-9,10-13,14-18,-,19-,-,20-24,-,25+
305,UL,Aaron Sele,Mariners,370,'02,2,6,Starter,R,1-4,5-7,8-13,14-18,-,19-22,-,-,-,23+
306,UL,Ichiro,Mariners,300,'02,12,22,LF-RF+1,L,-,-,1-6,7-,8-,9-16,17-18,19-,20-23,24+
307,UL,Dan Wilson,Mariners,180,'02,9,13,C+7,R,-,1-2,3-4,5-7,8-,9-16,-,17-18,-,19+
12,UL,*A.J. Burnett,Marlins,350,'02,4,6,Starter,R,-,4-7,8-11,12-16,17-18,19-23,-,-,-,24+
28,ASG,Luis Castillo,Marlins,380,'02,11,21,2B+2,S,-,1-3,4-5,6-,7-10,11-16,17-19,-,20-24,25+
31,UL,*Mike Lowell,Marlins,260,'02,11,11,3B+2,R,-,1-,2-,3-6,7-9,10-15,-,16-19,-,20+
37,ASG,Mike Lowell,Marlins,290,'02,11,10,3B+2,R,-,1-,2-,3-6,7-9,10-15,-,16-19,-,20+
47,UL,*Cliff Floyd,Marlins,520,'02,13,18,LF-RF+1,L,-,1-4,5-,6-7,8-9,10-14,15-,16-17,-,18+
55,UL,**Charles Johnson,Marlins,250,'02,9,09,C+8,R,-,1-5,-,6-,7-9,10-15,-,16-18,-,19+
56,UL,**Derrek Lee,Marlins,220,'02,10,15,1B+1,R,-,1-3,4-,5-6,7-10,11-16,-,17-18,-,19+
74,UL,*Luis Castillo,Marlins,300,'02,10,21,2B+2,S,-,1-3,4-5,6-,7-10,11-16,17-19,-,20-24,25+
102,SS,*Gary Sheffield '96,Marlins,640,'02,14,15,LF-RF+1,R,-,1-2,3-,4-6,7-13,14-15,-,16-17,-,18+
131,UL,Antonio Alfonseca,Marlins,100,'02,2,1,Closer,R,1-2,3-6,7-15,16-18,-,19-24,-,-,-,25+
132,UL,Josh Beckett,Marlins,500,'02,3,5,Starter,R,1-4,5-11,12-13,14-18,19-,20-24,-,-,-,25+
133,UL,A.J. Burnett,Marlins,310,'02,4,6,Starter,R,1-3,4-7,8-12,13-16,17-18,19-,-,20-22,-,23+
134,UL,Luis Castillo,Marlins,160,'02,10,21,2B+2,S,-,1-,2-5,6-,7-11,12-17,18-19,-,20-26,27+
135,UL,Ryan Dempster,Marlins,160,'02,4,6,Starter,R,1-3,4-7,8-12,13-15,16-17,18-19,-,20-24,-,25+
136,UL,Cliff Floyd,Marlins,420,'02,12,18,LF-RF+1,L,-,1-3,4-5,6-7,8-10,11-14,15-,16-18,-,19+
137,UL,Alex Gonzalez,Marlins,90,'02,8,12,SS+1,R,-,1-2,3-,4-5,6-7,8-15,-,16-19,-,20+
138,UL,Braden Looper,Marlins,70,'02,1,1,Reliever,R,1-3,4-8,9-16,17-19,20-22,-,-,-,-,23+
139,UL,Mike Lowell,Marlins,190,'02,10,10,3B+2,R,-,1-,2-,3-6,7-9,10-16,-,17-18,-,19+
140,UL,Eric Owens,Marlins,40,'02,8,15,LF-RF+1,R,-,-,1-5,-,6-8,9-18,19-,20-23,-,24+
141,UL,Brad Penny,Marlins,440,'02,3,07,Starter,R,1-3,4-7,8-14,15-18,-,19-,-,20-26,-,27+
142,UL,Preston Wilson,Marlins,270,'02,10,17,OF+2,R,-,1-4,5-6,7-,8-10,11-14,15-,16-18,-,19+
4,UL,*Mike Piazza,Mets,200,'02,10,09,C+2,R,-,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
11,UL,**Jeromy Burnitz,Mets,220,'02,10,13,LF-RF+1,L,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
23,UL,**Roberto Alomar,Mets,510,'02,12,21,2B+2,S,-,-,1-3,4-5,6-10,11-15,16-,17-18,19-,20+
26,UL,**Roger Cedeno,Mets,210,'02,10,23,OF+0,S,-,1-,2-6,-,7-8,9-15,16-18,19-,20-24,25+
41,ASG,Mike Piazza,Mets,230,'02,10,09,C+2,R,-,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
50,UL,*Edgardo Alfonzo,Mets,360,'02,12,14,3B+2,R,-,1-,2-,3-6,7-12,13-17,-,18-19,-,20+
61,UL,*Rey Ordonez,Mets,110,'02,8,14,SS+4,R,-,-,1-6,7-,-,8-17,-,18-19,20-25,26+
69,UL,*Armando Benitez,Mets,110,'02,2,1,Closer,R,1-2,3-11,12-14,15-19,-,20-,-,-,-,21+
80,UL,**Mo Vaughn,Mets,280,'02,11,10,1B+0,L,-,1-4,5-,6-7,8-12,13-17,-,18-,-,19+
81,UL,*AL Leiter,Mets,450,'02,2,6,Starter,L,1-5,6-10,11-16,17-19,-,20-25,-,-,-,26+
122,UL,**Dave Weathers,Mets,120,'02,4,1,Reliever,R,1-3,4-7,8-13,14-17,18-,19-27,-,-,-,28+
129,UL,**Jeff D'Amico,Mets,10,'02,4,5,Starter,R,1-4,5-6,7-11,12-15,-,16-17,-,18-19,-,20+
134,UL,**Shawn Estes,Mets,320,'02,5,6,Starter,L,1-2,3-5,6-11,12-15,16-17,18-19,-,20-26,-,27+
147,UL,**Pedro Astacio,Mets,250,'02,3,07,Starter,R,1-3,4-8,9-13,14-17,18-,19-25,-,-,-,26+
148,UL,**Satoru Komiyama,Mets,130,'02,4,1,Reliever,R,1-5,6-9,10-14,15-17,-,18-22,-,-,-,23+
212,UL,Edgardo Alfonzo,Mets,160,'02,10,13,2B+2,R,-,-,1-,2-7,8-12,13-17,-,18-,-,19+
213,UL,Kevin Appier,Mets,350,'02,1,6,Starter,R,1-4,5-9,10-15,16-19,20-23,-,-,-,-,24+
214,UL,Armando Benitez,Mets,120,'02,2,1,Closer,R,1-2,3-11,12-14,15-19,20-,-,-,-,-,21+
215,UL,Alex Escobar,Mets,180,'02,9,12,"CF+2, LF-RF+1",R,-,1-5,-,6-,7-9,10-16,-,17-18,-,19+
216,UL,John Franco,Mets,50,'02,1,1,Reliever,L,1-2,3-9,10-16,17-19,20-,-,-,-,-,21+
217,UL,Al Leiter,Mets,340,'02,1,6,Starter,L,1-5,6-10,11-16,17-19,-,20-24,-,-,-,25+
218,UL,Rey Ordonez,Mets,110,'02,8,14,SS+4,R,-,-,1-6,7-,-,8-17,-,18-19,20-25,26+
219,UL,Mike Piazza,Mets,300,'02,11,09,C+2,R,-,1-,2-4,5-6,7-9,10-15,-,16-17,-,18+
220,UL,Glendon Rusch,Mets,150,'02,4,5,Starter,L,1-3,4-7,8-11,12-15,-,16-19,-,20-21,-,22+
221,UL,Tsuyoshi Shinjo,Mets,170,'02,9,13,OF+2,R,-,1-2,3-4,5-6,7-9,10-17,-,18-19,-,20+
222,UL,Steve Trachsel,Mets,200,'02,2,6,Starter,R,1-3,4-8,9-14,15-18,-,19-,-,-,-,20+
223,UL,Todd Zeile,Mets,80,'02,11,11,1B+1,R,-,1-2,3-5,6-7,8-12,13-19,-,20-22,-,23+
2,UL,**Chris Singleton,Orioles,190,'02,10,19,OF+2,L,-,1-,2-4,5-7,8-,9-16,17-,18-19,20-21,22+
2,ASG,Tony Batista,Orioles,310,'02,10,17,3B+1,R,-,1-3,4-,5-6,7-8,9-14,-,15-17,-,18+
9,UL,*Melvin Mora,Orioles,190,'02,10,14,"LF-RF+1, SS+4",R,-,1-3,-,4-7,8-12,13-17,18-,19-22,-,23+
13,UL,**Marty Cordova,Orioles,220,'02,11,12,LF-RF+2,R,-,1-3,4-5,6-7,8-9,10-16,-,17-18,-,19+
39,UL,Brady Anderson,Orioles,60,'02,9,19,LF-RF+1,L,-,1-,2-4,5-7,8-14,15-18,19-,-,20-22,23+
39,UL,**Jay Gibbons,Orioles,160,'02,9,09,LF-RF+1,L,-,1-,2-4,5-7,8-11,12-15,-,16-,-,17+
40,UL,Tony Batista,Orioles,170,'02,8,17,3B+1,R,-,1-2,3-,4-6,7-8,9-14,-,15-16,17-,18+
41,UL,Mike Bordick,Orioles,190,'02,9,15,SS+2,R,-,1-,2-4,5-6,7-10,11-15,16-,17-18,-,19+
41,UL,**David Segui,Orioles,240,'02,12,12,1B+0,S,-,1-3,4-5,6-,7-11,12-17,-,18-19,-,20+
42,UL,Jeff Conine,Orioles,220,'02,12,15,"LF-RF+2, 1B+0",R,-,1-,2-4,5-7,8-11,12-18,-,19-,-,20+
43,UL,Buddy Groom,Orioles,140,'02,2,1,Reliever,L,1-4,5-9,10-16,17-19,-,20-26,-,-,-,27+
44,UL,Jerry Hairston Jr.,Orioles,190,'02,9,20,2B+4,R,-,-,1-4,5-7,8-11,12-15,16-17,18-19,20-22,23+
45,UL,Jason Johnson,Orioles,170,'02,2,6,Starter,R,1-4,5-7,8-13,14-17,18-,19-,-,20-,-,21+
46,UL,Melvin Mora,Orioles,190,'02,10,14,"SS+4, OF+2",R,-,1-3,-,4-7,8-12,13-17,18-,19-22,-,23+
47,UL,Chris Richard,Orioles,140,'02,10,16,LF-RF+1,L,-,1-3,4-6,7-,8-11,12-16,17-,18-19,-,20+
48,UL,B.J. Ryan,Orioles,100,'02,3,1,Reliever,L,1-3,4-9,10-14,15-17,18-19,20-22,-,-,-,23+
